configuration,seed,split,best_epoch,event_accuracy,event_macro_f1,time_mae_seconds,position_distance_mae_m,team_accuracy,team_macro_f1,player_top1,player_top3,player_top5,player_mrr,core_etp_loss,joint_active_loss
three_f80,20260715,validation,16,0.7760416666666666,0.6124439817214973,1.4477102756500244,16.284055709838867,0.7142269736842105,0.6980449849088592,0.03688829391640636,0.1106648817492191,0.17938420348058903,0.13586509893939164,0.03046098720739808,0.03046098720739808
three_f80,20260716,validation,14,0.7711074561403509,0.6111895938785243,1.4753937721252441,15.670123100280762,0.6236293859649122,0.5429103338576167,0.026030046110367397,0.0821062025881303,0.12985274431057564,0.11141214998365949,0.031098723901729835,0.031098723901729835
three_f80,20260717,validation,15,0.7708333333333334,0.6065682842026756,1.46261727809906,15.833914756774902,0.44161184210526316,0.4042115667514505,0.03421091774505429,0.09802171649561207,0.15127175368139223,0.12366380816520933,0.030718512277592692,0.030718512277592692
three_fixedb,20260715,validation,17,0.7774122807017544,0.6134491316369737,1.441467523574829,15.757349967956543,0.6957236842105263,0.6589419424393778,0.04060687193217314,0.11453220288561654,0.18533392830581585,0.14104227344213355,0.030317445563381177,0.030317445563381177
three_fixedb,20260716,validation,12,0.7743969298245614,0.6253943698776265,1.4655078649520874,16.080141067504883,0.5995065789473685,0.49555688818622906,0.03376468838316228,0.09013833110218653,0.14323962516733602,0.12132434823437356,0.03019321611837337,0.03019321611837337
three_fixedb,20260717,validation,16,0.7733004385964912,0.612327205492871,1.4928385019302368,15.584604263305664,0.40981359649122806,0.3846286920426286,0.027814963557935446,0.08686598244831177,0.1463632307005801,0.11650075057373062,0.03099754753342846,0.03099754753342846
three_sfb,20260715,validation,9,0.78125,0.6134148603013783,1.4653123617172241,16.20231056213379,0.7308114035087719,0.7062933898106647,0.040160642570281124,0.11765580841886063,0.1892012494422133,0.14425865336079707,0.030458376726560425,0.030458376726560425
three_sfb,20260716,validation,9,0.7783717105263158,0.618116008968453,1.4400781393051147,15.998760223388672,0.6104714912280702,0.5062535908427984,0.02513758738658337,0.07615647776290346,0.13267886360255837,0.11204155047316582,0.030154851575692494,0.030154851575692494
three_sfb,20260717,validation,10,0.7749451754385965,0.6118946555382585,1.458720088005066,16.452577590942383,0.4233826754385965,0.40064736306410315,0.027814963557935446,0.07719767960731816,0.12940651494868363,0.11089921254319166,0.030718177164855757,0.030718177164855757
five_f80,20260715,validation,17,0.7569901315789473,0.5565749794859338,1.4448418617248535,19.161724090576172,0.8633497807017544,0.8593591116211107,0.41871188457533837,0.6865982448311766,0.7991967871485943,0.5824471041283809,0.03228645294643285,0.29980659589432834
five_f80,20260716,validation,20,0.7602796052631579,0.580945617527395,1.5053783655166626,18.10838508605957,0.8629385964912281,0.860206361162384,0.4091923248549755,0.6947791164658634,0.8076751450245426,0.5803424102745016,0.03230069185558118,0.2993719598703217
five_f80,20260717,validation,19,0.7616502192982456,0.5890922415036168,1.4793158769607544,18.851707458496094,0.8622532894736842,0.859184896391008,0.41960434329912244,0.7019187862561357,0.8118399524022014,0.5884524809497456,0.032686112089115274,0.295670491561555
five_hard,20260715,validation,17,0.7652138157894737,0.5783423707601332,1.4415985345840454,17.749666213989258,0.8665021929824561,0.8628158421040439,0.42600029748624124,0.6947791164658634,0.8146660716941841,0.5901945465300033,0.03169564830890873,0.2945070397435573
five_hard,20260716,validation,20,0.7609649122807017,0.5697157599104525,1.47160804271698,17.718189239501953,0.8556743421052632,0.8527915415409422,0.42243046259110517,0.6928454558976648,0.8006842183549011,0.586272265884065,0.03216885559652981,0.29820397234799567
five_hard,20260717,validation,19,0.7623355263157895,0.5699398467963673,1.4592195749282837,18.15431785583496,0.8643092105263158,0.861046462281374,0.4243641231593039,0.7002826119291983,0.8116912092815707,0.58964019147591,0.03207523369213991,0.2946079561584874
five_soft,20260715,validation,18,0.7689144736842105,0.6081923731819929,1.4825389385223389,17.38991355895996,0.8656798245614035,0.8621095574557011,0.42882641677822403,0.6995388963260449,0.8125836680053548,0.5930540696846343,0.03159920250376066,0.2950611590293416
five_soft,20260716,validation,20,0.7612390350877193,0.5810653615271775,1.4613654613494873,17.954326629638672,0.8592379385964912,0.856403800380104,0.41335713223263426,0.6918042540532501,0.8055927413357132,0.5812572258801597,0.03210912599113949,0.29968260463915375
five_soft,20260717,validation,18,0.7663103070175439,0.5970396641075133,1.4674351215362549,18.197265625,0.8629385964912281,0.8601070687115884,0.42168674698795183,0.7010263275323516,0.8140710992116614,0.5899269779304223,0.0320012690336035,0.2937743919983245
t4_team,20260715,validation,17,0.7776864035087719,0.6261571914920717,1.4598865509033203,15.522533416748047,0.8726699561403509,0.8695006841411015,0.027814963557935446,0.09623679904804402,0.16198125836680052,0.12322140608153044,0.030169356548995302,0.03532066849762933
