configuration,seed,best_epoch,event_accuracy,event_macro_f1,time_mae_seconds,position_distance_mae_m,position_median_m,team_accuracy,team_macro_f1,player_top1,player_top3,player_top5,player_mrr,player_coverage,parameters,training_seconds,peak_cuda_memory_bytes
three_f80,20260715,16,0.7698597889607037,0.6050857415612941,1.5202451944351196,16.02237892150879,9.590579986572266,0.7217461333553596,0.7027804641474769,0.033666503056534736,0.1012114586586944,0.16878987996965775,0.13012968259296873,0.9255580564561092,,,
three_f80,20260716,14,0.7696326429471163,0.6057451182667846,1.522132158279419,15.227907180786133,7.959263801574707,0.6357197431185083,0.551669929861907,0.0236379456516889,0.08030654589264201,0.1385480344473696,0.1117704210836861,0.9255580564561092,,,
three_f80,20260717,15,0.7696429677659157,0.6223862436103105,1.526087760925293,15.314103126525879,8.225156784057617,0.43030747310384704,0.3938569463370647,0.025389317745749856,0.08605149257061265,0.1460889741644728,0.11563336383200669,0.9255580564561092,,,
t4_team,20260715,17,0.7732876288021145,0.636904858740891,1.5263102054595947,15.140891075134277,8.377324104309082,0.8772792037499741,0.87337256331637,0.027196466021150327,0.0920976306278167,0.15879478827361562,0.12082052295627708,0.9255580564561092,,,
t4_team,20260716,14,0.7727197637681459,0.6154020026637198,1.5457350015640259,15.289777755737305,8.608589172363281,0.8770520577363867,0.8721828136269911,0.019209316853330955,0.06389719334255499,0.10763687474900718,0.09951193873033494,0.9255580564561092,,,
t4_team,20260717,16,0.7617651310219505,0.6027714676013332,1.5493685007095337,15.555488586425781,8.410670280456543,0.8700931298655709,0.8666241306689207,0.033499174512516175,0.10488153139083486,0.17421132479585918,0.13162820218782056,0.9255580564561092,,,
five_f80,20260715,17,0.7629937844590827,0.5740036435708563,1.529369831085205,18.677600860595703,13.257990837097168,0.8677493959981002,0.8631430373483653,0.4183436705189416,0.6895609299004953,0.8010463611619294,0.5836094196159289,0.9255580564561092,,,
five_f80,20260716,20,0.7627976129018935,0.5845790797213087,1.554998755455017,17.64298439025879,11.624258995056152,0.8680488157432837,0.8643970714150596,0.42135558431127573,0.6945919414573201,0.8056646289768418,0.5868923866334969,0.9255580564561092,,,
five_f80,20260717,19,0.7596795176244657,0.5895305456850661,1.546720027923584,18.439510345458984,12.453485488891602,0.8655915088690194,0.8617592551611105,0.4264200615769042,0.6999910758109856,0.8104502253357726,0.5918581587364948,0.9255580564561092,,,
t5_player_adapter,20260715,17,0.7620955252235323,0.5785590114105796,1.522444486618042,18.51144027709961,12.757218360900879,0.8686992793276478,0.8642581093409137,0.41747356209004505,0.688188835839543,0.8004105126946589,0.5829611260159175,0.9255580564561092,,,
t5_player_adapter,20260716,24,0.7617651310219505,0.5950507375081249,1.5430207252502441,17.758831024169922,11.647516250610352,0.8677390711793008,0.8638711773017294,0.4245794475927,0.6926509303467048,0.8022622819151309,0.5882116495518979,0.9255580564561092,,,
t5_player_adapter,20260717,22,0.7640882152518224,0.6039962750600314,1.5199451446533203,18.342838287353516,12.360851287841797,0.8675738740785099,0.863564108727239,0.4264200615769042,0.6996787291954844,0.8118669403417964,0.5917881851229608,0.9255580564561092,,,
partial_l2,20260715,21,0.7696429677659157,0.6108335313546428,1.5000888109207153,15.935161590576172,9.335325241088867,0.8694633159188057,0.8640381996912584,0.41208558297264736,0.6808821560840659,0.7953795011378341,0.5776859465255934,0.9255580564561092,557705.0,6319.016895228066,1898397696.0
partial_l2,20260716,24,0.766287401656101,0.6180464104329151,1.4924538135528564,15.010984420776367,8.196486473083496,0.8745018274929275,0.8700959628570182,0.4164695908259337,0.6853777163000312,0.795981883896301,0.5812017147539869,0.9255580564561092,557705.0,6375.363524782471,1896157184.0
partial_l2,20260717,20,0.7696945918599128,0.6174726422358793,1.4844191074371338,15.936367988586426,9.342247009277344,0.868895450884837,0.8645540582978051,0.4146178216054616,0.6870621569764848,0.8004328231671947,0.5812731901986676,0.9255580564561092,557705.0,6471.050166878849,1897727488.0
