mode,seed,split,event_accuracy,event_macro_f1,time_mae_seconds,position_distance_mae_m,position_median_m,team_accuracy,team_macro_f1,player_top1,player_top3,player_top5,player_mrr,player_coverage,parameters,elapsed_seconds,peak_cuda_memory_bytes
five_f80,20260715,validation,0.7557565789473685,0.5344516907631143,1.5042332410812378,19.851577758789062,14.329214096069336,0.8570449561403509,0.8522149182623155,0.37646883831622785,0.6503049233972928,0.7640934106797561,0.5458307165483502,0.9214638157894737,382690,2247.274555288255,1387268608
five_f80,20260716,validation,0.7550712719298246,0.4980054867837552,1.4982452392578125,18.94582176208496,12.622410774230957,0.8552631578947368,0.851402544020441,0.37349397590361444,0.642570281124498,0.7578461996132679,0.5427397429293912,0.9214638157894737,382690,2265.3310517957434,1384299520
five_f80,20260717,validation,0.7554824561403509,0.4919329363253543,1.5452179908752441,19.45514678955078,13.075502395629883,0.8530701754385965,0.8503705748877164,0.3858396549159601,0.676929941990183,0.785363676929942,0.5596047854661504,0.9214638157894737,382690,2287.5178256994113,1387308032
five_hard,20260715,validation,0.7538377192982456,0.512323691839264,1.4990264177322388,19.245800018310547,13.12795352935791,0.8604714912280702,0.8558964856670385,0.3897069760523576,0.666071694184144,0.7864048787743567,0.5598000104811429,0.9214638157894737,382690,5269.537091176026,1585835008
five_hard,20260716,validation,0.7574013157894737,0.5198115555029063,1.515302062034607,19.27840805053711,13.275428771972656,0.8569078947368421,0.8530376370641115,0.38033615945262533,0.6442064554514354,0.7681094749367842,0.5485531802026408,0.9214638157894737,382690,5438.8059160057455,1578332160
five_hard,20260717,validation,0.7564418859649122,0.488104293435645,1.5133898258209229,19.419757843017578,13.030933380126953,0.858141447368421,0.8544690246854134,0.38940948981109624,0.6633943180127919,0.786256135653726,0.558975630308831,0.9214638157894737,382690,5368.098916450515,1574765568
five_soft,20260715,validation,0.7539747807017544,0.5040170010674979,1.4677678346633911,19.444738388061523,13.397933959960938,0.8618421052631579,0.8577599532105109,0.3920868659824483,0.6712777034062175,0.784471218206158,0.5621519184212008,0.9214638157894737,382696,5419.6598107311875,1585839616
five_soft,20260716,validation,0.7542489035087719,0.5178196390619193,1.472334623336792,19.504854202270508,13.916248321533203,0.8558114035087719,0.8519250077728167,0.3779562695225346,0.6455451435371115,0.7657295850066934,0.5460904543489515,0.9214638157894737,382696,5316.26200304646,1578336768
five_soft,20260717,validation,0.756578947368421,0.48213931137260124,1.4675772190093994,19.381818771362305,12.96894645690918,0.8538925438596491,0.8495032614732068,0.39030194853488026,0.6627993455302692,0.7819425851554366,0.5583753281531841,0.9214638157894737,382696,4985.283511946909,1574770176
five_f80,20260715,test,0.7575422801329836,0.5317263954103886,1.5795773267745972,19.518394470214844,13.969192504882812,0.8588803766493898,0.8533086564259627,0.37927803310874125,0.6469367721208336,0.7620364999330685,0.5472014795115676,0.9255580564561092,382690,590.8177519533783,648510464
five_f80,20260716,test,0.7558593346686766,0.508388145349665,1.5743772983551025,18.506149291992188,12.144116401672363,0.8579201685010428,0.8531461065511614,0.38463254651733525,0.6511757619026372,0.7637767167908617,0.5515265458677063,0.9255580564561092,382690,587.6096354862675,648510464
five_f80,20260717,test,0.7560761558634645,0.5001542127010267,1.5943443775177002,19.077611923217773,12.756115913391113,0.8570632085406901,0.853339968114885,0.3947503458123243,0.6728169202623712,0.7887867565035027,0.5651021405358884,0.9255580564561092,382690,631.0212536733598,648510464
five_hard,20260715,test,0.7547339294195387,0.5176852548832694,1.5622493028640747,18.754911422729492,12.634164810180664,0.8647035744522683,0.8594262659609291,0.39617821605461606,0.6686783276069788,0.7866561063763331,0.5645645406836365,0.9255580564561092,382690,1480.44515661709,651108352
five_hard,20260716,test,0.7550126995271234,0.5206712121087166,1.589963436126709,18.815967559814453,12.847846984863281,0.8594585665021579,0.854621967105132,0.38525723974833787,0.6549016108161171,0.7679153094462541,0.5528554726525804,0.9255580564561092,382690,1486.7477238448337,651108352
five_hard,20260717,test,0.7551159477151176,0.5015698271836061,1.583337426185608,19.009733200073242,12.586506843566895,0.8580337415078365,0.8534847925478641,0.3909017892998974,0.6693922627281246,0.7850832180625585,0.5620105867323306,0.9255580564561092,382690,1443.3233351660892,651108352
five_soft,20260715,test,0.7561690792326594,0.4814517601618,1.5429660081863403,18.902006149291992,12.804656982421875,0.8674706258905156,0.8627010161024676,0.39540850475213063,0.6691356922939627,0.7869684529918344,0.5647096223665592,0.9255580564561092,382696,1448.1111633619294,651116032
five_soft,20260716,test,0.7562310281454561,0.5342309935410602,1.5574530363082886,19.06905174255371,13.330056190490723,0.8608730666776798,0.8561605121920111,0.38355048859934854,0.6498594440230244,0.7644014100218642,0.5502261095752748,0.9255580564561092,382696,1448.7690717848018,651116032
five_soft,20260717,test,0.7546203564127449,0.4978309759483131,1.5582294464111328,18.989355087280273,12.528806686401367,0.8556796828215665,0.850148402762279,0.39055597697559236,0.6654544643255544,0.7810450225335772,0.5602913529391922,0.9255580564561092,382696,1406.3516423841938,651116032
