variant,seed,split,event_accuracy,event_macro_f1,time_mae_seconds,position_distance_mae_m
b0,20260715,validation,0.7584978070175439,0.567296360585722,1.4902013540267944,17.441280364990234
t0_membership,20260715,validation,0.7620614035087719,0.5878957690209495,1.5007233619689941,17.96908187866211
t1_owner,20260715,validation,0.7609649122807017,0.5862152667533159,1.5109668970108032,17.822786331176758
t2_transition,20260715,validation,0.7611019736842105,0.584511000534613,1.5029469728469849,17.82102394104004
b0,20260716,validation,0.7584978070175439,0.5771673511095845,1.4926034212112427,17.50185203552246
t0_membership,20260716,validation,0.7591831140350878,0.5768451763828912,1.4639289379119873,17.923311233520508
t1_owner,20260716,validation,0.7568530701754386,0.5682262898964964,1.4774407148361206,18.150142669677734
t2_transition,20260716,validation,0.7578125,0.5671789631815146,1.4597296714782715,18.126619338989258
b0,20260717,validation,0.7594572368421053,0.5727463351183435,1.4747837781906128,18.0865535736084
t0_membership,20260717,validation,0.7591831140350878,0.5836320888047152,1.4587857723236084,17.741975784301758
t1_owner,20260717,validation,0.7591831140350878,0.5785915752709816,1.4701589345932007,17.86045265197754
t2_transition,20260717,validation,0.7583607456140351,0.5748436522061732,1.4669785499572754,17.806550979614258
