variant,seed,split,event_accuracy,event_macro_f1,time_mae_seconds,position_distance_mae_m
b0,20260715,validation,0.7584978070175439,0.567296360585722,1.4902013540267944,17.441280364990234
t0_membership,20260715,validation,0.7620614035087719,0.5878957690209495,1.5007233619689941,17.96908187866211
c1_categorical,20260715,validation,0.7541118421052632,0.572809498743158,1.483215570449829,18.025146484375
d2_dynamic,20260715,validation,0.7715186403508771,0.6150164913439635,1.4789901971817017,17.241905212402344
b0,20260716,validation,0.7584978070175439,0.5771673511095845,1.4926034212112427,17.50185203552246
t0_membership,20260716,validation,0.7591831140350878,0.5768451763828912,1.4639289379119873,17.923311233520508
c1_categorical,20260716,validation,0.7604166666666666,0.5931014742282283,1.4883562326431274,17.888290405273438
d2_dynamic,20260716,validation,0.7733004385964912,0.5918517643598279,1.4588954448699951,17.321979522705078
b0,20260717,validation,0.7594572368421053,0.5727463351183435,1.4747837781906128,18.0865535736084
t0_membership,20260717,validation,0.7591831140350878,0.5836320888047152,1.4587857723236084,17.741975784301758
c1_categorical,20260717,validation,0.7575383771929824,0.574965180602052,1.4859031438827515,17.972431182861328
d2_dynamic,20260717,validation,0.7687774122807017,0.6095401424632997,1.4453392028808594,17.354021072387695
