model,true_event,predicted_event,count,share_of_errors,rate_given_true
original,Shot,Goalkeeper leaving line,0.0,0.0,0.0
original,Shot,Interruption,22.0,0.0009740008889281355,0.01794453507340946
original,Shot,Offside,0.0,0.0,0.0
original,Shot,Others on the ball,53.666666666666664,0.0023715293561984573,0.04377379010331702
original,Shot,Pass,468.3333333333333,0.02070267294769756,0.38200108754758016
original,Shot,Save attempt,0.0,0.0,0.0
rotate,Duel,Foul,136.66666666666666,0.006381734565878244,0.00509950248756219
rotate,Duel,Free Kick,2.0,9.329643798821291e-05,7.462686567164179e-05
rotate,Duel,Goalkeeper leaving line,2.0,9.315239001535796e-05,7.462686567164179e-05
rotate,Duel,Interruption,365.6666666666667,0.017054682479282355,0.013644278606965175
rotate,Duel,Offside,0.0,0.0,0.0
rotate,Duel,Others on the ball,132.66666666666666,0.006210856309563739,0.004950248756218905
rotate,Duel,Pass,8365.0,0.39094566694322536,0.3121268656716418
rotate,Duel,Save attempt,0.0,0.0,0.0
rotate,Duel,Shot,213.66666666666666,0.009979317867796003,0.007972636815920397
rotate,Foul,Duel,35.333333333333336,0.0016554046989264949,0.02959240647682859
rotate,Foul,Free Kick,38.666666666666664,0.0018066209078321594,0.03238414293690676
rotate,Foul,Goalkeeper leaving line,0.0,0.0,0.0
rotate,Foul,Interruption,3.0,0.00014031132675369456,0.002512562814070352
rotate,Foul,Offside,0.0,0.0,0.0
rotate,Foul,Others on the ball,3.6666666666666665,0.00017136650614843105,0.0030709101060859855
rotate,Foul,Pass,545.0,0.02547966903803278,0.4564489112227806
rotate,Foul,Save attempt,0.0,0.0,0.0
rotate,Foul,Shot,11.333333333333334,0.0005283306036514029,0.009491903964265773
rotate,Free Kick,Duel,0.0,0.0,0.0
rotate,Free Kick,Foul,0.0,0.0,0.0
rotate,Free Kick,Goalkeeper leaving line,0.0,0.0,0.0
rotate,Free Kick,Interruption,2.6666666666666665,0.00012549090148731353,0.0004808270224786633
rotate,Free Kick,Offside,0.0,0.0,0.0
rotate,Free Kick,Others on the ball,1.3333333333333333,6.245080495870908e-05,0.00024041351123933166
rotate,Free Kick,Pass,7.0,0.0003264982581685067,0.0012621709340064912
rotate,Free Kick,Save attempt,0.0,0.0,0.0
rotate,Free Kick,Shot,0.0,0.0,0.0
rotate,Goalkeeper leaving line,Duel,14.0,0.0006539001032095696,0.0707070707070707
rotate,Goalkeeper leaving line,Foul,0.0,0.0,0.0
rotate,Goalkeeper leaving line,Free Kick,0.0,0.0,0.0
rotate,Goalkeeper leaving line,Interruption,30.0,0.0014048026411565301,0.15151515151515152
rotate,Goalkeeper leaving line,Offside,0.0,0.0,0.0
rotate,Goalkeeper leaving line,Others on the ball,6.666666666666667,0.00031200522788326214,0.033670033670033676
rotate,Goalkeeper leaving line,Pass,6.0,0.0002800464616159693,0.030303030303030304
rotate,Goalkeeper leaving line,Save attempt,0.3333333333333333,1.5579964166082417e-05,0.0016835016835016836
rotate,Goalkeeper leaving line,Shot,0.0,0.0,0.0
rotate,Interruption,Duel,80.66666666666667,0.0037684653624144755,0.018799036743571817
rotate,Interruption,Foul,0.0,0.0,0.0
rotate,Interruption,Free Kick,127.33333333333333,0.00594972550462576,0.02967451254563816
rotate,Interruption,Goalkeeper leaving line,10.666666666666666,0.0004971837749977136,0.0024858230404723063
rotate,Interruption,Offside,0.0,0.0,0.0
rotate,Interruption,Others on the ball,128.66666666666666,0.006013446590473588,0.029985240425697196
rotate,Interruption,Pass,545.6666666666666,0.025480631581721563,0.12716538491416143
rotate,Interruption,Save attempt,1.0,4.626844954425577e-05,0.00023304591004427873
rotate,Interruption,Shot,2.3333333333333335,0.00010932164575133575,0.0005437737901033171
rotate,Offside,Duel,2.3333333333333335,0.00010902045012715028,0.00922266139657444
rotate,Offside,Foul,0.0,0.0,0.0
rotate,Offside,Free Kick,0.0,0.0,0.0
rotate,Offside,Goalkeeper leaving line,0.0,0.0,0.0
rotate,Offside,Interruption,13.333333333333334,0.0006213258460154304,0.052700922266139656
rotate,Offside,Others on the ball,59.666666666666664,0.002791550254761117,0.23583662714097495
rotate,Offside,Pass,175.66666666666666,0.008206528446859002,0.69433465085639
rotate,Offside,Save attempt,0.0,0.0,0.0
rotate,Offside,Shot,2.0,9.345358563954343e-05,0.007905138339920948
rotate,Others on the ball,Duel,544.6666666666666,0.025450194824609116,0.06976644891336835
rotate,Others on the ball,Foul,35.0,0.0016339186708926071,0.004483156141923915
rotate,Others on the ball,Free Kick,0.0,0.0,0.0
rotate,Others on the ball,Goalkeeper leaving line,7.333333333333333,0.0003423401189233479,0.000939327953545963
rotate,Others on the ball,Interruption,248.33333333333334,0.011583316887706403,0.0318090602450792
rotate,Others on the ball,Offside,0.0,0.0,0.0
rotate,Others on the ball,Pass,4806.666666666667,0.22456902456977382,0.6156867768242176
rotate,Others on the ball,Save attempt,2.0,9.345358563954343e-05,0.0002561803509670808
rotate,Others on the ball,Shot,89.66666666666667,0.004185287255893639,0.011485419068357455
rotate,Pass,Duel,1979.3333333333333,0.0924465612347753,0.04034926782862773
rotate,Pass,Foul,292.6666666666667,0.013660153306185674,0.005966092481228553
rotate,Pass,Free Kick,15.666666666666666,0.0007289974656729839,0.00031936941528216625
rotate,Pass,Goalkeeper leaving line,4.333333333333333,0.0002020287921696533,8.833622124825876e-05
rotate,Pass,Interruption,757.3333333333334,0.035342569006561714,0.01543845343661876
rotate,Pass,Offside,0.0,0.0,0.0
rotate,Pass,Others on the ball,660.6666666666666,0.03091539394240399,0.013467876193388373
rotate,Pass,Save attempt,0.0,0.0,0.0
rotate,Pass,Shot,133.33333333333334,0.006227087356490635,0.0027180375768695
rotate,Save attempt,Duel,2.0,9.330953766668847e-05,0.0038387715930902114
rotate,Save attempt,Foul,0.0,0.0,0.0
rotate,Save attempt,Free Kick,0.0,0.0,0.0
rotate,Save attempt,Goalkeeper leaving line,10.333333333333334,0.00048238954908828364,0.01983365323096609
rotate,Save attempt,Interruption,14.0,0.0006555108302679253,0.026871401151631478
rotate,Save attempt,Offside,0.0,0.0,0.0
rotate,Save attempt,Others on the ball,2.6666666666666665,0.00012385397507200688,0.005118362124120281
rotate,Save attempt,Pass,5.333333333333333,0.00024938417559474703,0.010236724248240563
rotate,Save attempt,Shot,0.3333333333333333,1.5579964166082417e-05,0.0006397952655150352
rotate,Shot,Duel,190.0,0.008886733611108673,0.15497553017944535
rotate,Shot,Foul,2.3333333333333335,0.00010932164575133575,0.0019032082653616096
rotate,Shot,Free Kick,0.0,0.0,0.0
rotate,Shot,Goalkeeper leaving line,0.0,0.0,0.0
rotate,Shot,Interruption,13.0,0.0006069768637030408,0.010603588907014683
rotate,Shot,Offside,0.0,0.0,0.0
rotate,Shot,Others on the ball,23.333333333333332,0.0010920640737305178,0.019032082653616098
rotate,Shot,Pass,490.0,0.022896442825481176,0.39967373572593806
rotate,Shot,Save attempt,0.0,0.0,0.0
