model,seed,accuracy,macro_f1,errors
original,20260715,0.7673777750255442,0.6125456804462585,22539
original,20260716,0.7634145586277363,0.6132023436854421,22923
original,20260717,0.768399541753104,0.6192766524119497,22440
rotate,20260715,0.7791848572106801,0.6358079101374562,21395
rotate,20260716,0.7812077489137278,0.6365396469973467,21199
rotate,20260717,0.7769349062348412,0.6357292361516821,21613
