model,seed,true_event,predicted_event,count,share_of_errors,rate_given_true
original,20260715,Shot,Duel,152,0.006743866187497227,0.12398042414355628
original,20260715,Shot,Foul,5,0.000221837703536093,0.004078303425774877
original,20260715,Shot,Free Kick,0,0.0,0.0
original,20260715,Shot,Goalkeeper leaving line,0,0.0,0.0
original,20260715,Shot,Interruption,26,0.0011535560583876836,0.021207177814029365
original,20260715,Shot,Offside,0,0.0,0.0
original,20260715,Shot,Others on the ball,48,0.002129641953946493,0.03915171288743882
original,20260715,Shot,Pass,509,0.022583078219974267,0.41517128874388254
original,20260715,Shot,Save attempt,0,0.0,0.0
original,20260716,Duel,Foul,217,0.009466474719713824,0.008097014925373134
original,20260716,Duel,Free Kick,4,0.00017449722985647602,0.00014925373134328358
original,20260716,Duel,Goalkeeper leaving line,1,4.3624307464119006e-05,3.7313432835820896e-05
original,20260716,Duel,Interruption,330,0.014396021463159272,0.012313432835820896
original,20260716,Duel,Offside,0,0.0,0.0
original,20260716,Duel,Others on the ball,193,0.008419491340574969,0.007201492537313433
original,20260716,Duel,Pass,7811,0.34074946560223357,0.291455223880597
original,20260716,Duel,Save attempt,0,0.0,0.0
original,20260716,Duel,Shot,266,0.011604065785455656,0.009925373134328359
original,20260716,Foul,Duel,75,0.0032718230598089257,0.06281407035175879
original,20260716,Foul,Free Kick,38,0.0016577236836365222,0.031825795644891124
original,20260716,Foul,Goalkeeper leaving line,0,0.0,0.0
original,20260716,Foul,Interruption,5,0.00021812153732059505,0.0041876046901172526
original,20260716,Foul,Offside,0,0.0,0.0
original,20260716,Foul,Others on the ball,10,0.0004362430746411901,0.008375209380234505
original,20260716,Foul,Pass,418,0.018234960520001744,0.3500837520938023
original,20260716,Foul,Save attempt,0,0.0,0.0
original,20260716,Foul,Shot,23,0.0010033590716747372,0.019262981574539362
original,20260716,Free Kick,Duel,0,0.0,0.0
original,20260716,Free Kick,Foul,0,0.0,0.0
original,20260716,Free Kick,Goalkeeper leaving line,0,0.0,0.0
original,20260716,Free Kick,Interruption,1,4.3624307464119006e-05,0.00018031013342949875
original,20260716,Free Kick,Offside,0,0.0,0.0
original,20260716,Free Kick,Others on the ball,2,8.724861492823801e-05,0.0003606202668589975
original,20260716,Free Kick,Pass,11,0.00047986738210530907,0.001983411467724486
original,20260716,Free Kick,Save attempt,0,0.0,0.0
original,20260716,Free Kick,Shot,0,0.0,0.0
original,20260716,Goalkeeper leaving line,Duel,17,0.0007416132268900232,0.08585858585858586
original,20260716,Goalkeeper leaving line,Foul,0,0.0,0.0
original,20260716,Goalkeeper leaving line,Free Kick,0,0.0,0.0
original,20260716,Goalkeeper leaving line,Interruption,40,0.0017449722985647604,0.20202020202020202
original,20260716,Goalkeeper leaving line,Offside,0,0.0,0.0
original,20260716,Goalkeeper leaving line,Others on the ball,10,0.0004362430746411901,0.050505050505050504
original,20260716,Goalkeeper leaving line,Pass,8,0.00034899445971295204,0.04040404040404041
original,20260716,Goalkeeper leaving line,Save attempt,1,4.3624307464119006e-05,0.005050505050505051
original,20260716,Goalkeeper leaving line,Shot,0,0.0,0.0
original,20260716,Interruption,Duel,181,0.00789599965100554,0.04218130971801445
original,20260716,Interruption,Foul,0,0.0,0.0
original,20260716,Interruption,Free Kick,127,0.0055402870479431135,0.029596830575623397
original,20260716,Interruption,Goalkeeper leaving line,6,0.00026174584478471405,0.0013982754602656724
original,20260716,Interruption,Offside,0,0.0,0.0
original,20260716,Interruption,Others on the ball,178,0.0077651267286131835,0.041482171987881615
original,20260716,Interruption,Pass,985,0.042969942852157224,0.22955022139361453
original,20260716,Interruption,Save attempt,0,0.0,0.0
original,20260716,Interruption,Shot,15,0.0006543646119617851,0.003495688650664181
original,20260716,Offside,Duel,5,0.00021812153732059505,0.019762845849802372
original,20260716,Offside,Foul,1,4.3624307464119006e-05,0.003952569169960474
original,20260716,Offside,Free Kick,0,0.0,0.0
original,20260716,Offside,Goalkeeper leaving line,0,0.0,0.0
original,20260716,Offside,Interruption,20,0.0008724861492823802,0.07905138339920949
original,20260716,Offside,Others on the ball,43,0.0018758452209571173,0.16996047430830039
original,20260716,Offside,Pass,180,0.007852375343541421,0.7114624505928854
original,20260716,Offside,Save attempt,0,0.0,0.0
original,20260716,Offside,Shot,4,0.00017449722985647602,0.015810276679841896
original,20260716,Others on the ball,Duel,684,0.0298390263054574,0.08761368003074164
original,20260716,Others on the ball,Foul,63,0.0027483313702394976,0.008069681055463046
original,20260716,Others on the ball,Free Kick,0,0.0,0.0
original,20260716,Others on the ball,Goalkeeper leaving line,5,0.00021812153732059505,0.0006404508774177021
original,20260716,Others on the ball,Interruption,247,0.010775203943637394,0.03163827334443448
original,20260716,Others on the ball,Offside,0,0.0,0.0
original,20260716,Others on the ball,Pass,4779,0.20848056537102475,0.6121429486358396
original,20260716,Others on the ball,Save attempt,2,8.724861492823801e-05,0.0002561803509670808
original,20260716,Others on the ball,Shot,113,0.0049295467434454475,0.014474189829640067
original,20260716,Pass,Duel,2965,0.12934607163111286,0.06044236061563551
original,20260716,Pass,Foul,480,0.020939667582777124,0.009784935276730201
original,20260716,Pass,Free Kick,22,0.0009597347642106181,0.0004484762001834675
original,20260716,Pass,Goalkeeper leaving line,6,0.00026174584478471405,0.0001223116909591275
original,20260716,Pass,Interruption,670,0.029228286000959735,0.013658138823769239
original,20260716,Pass,Offside,0,0.0,0.0
original,20260716,Pass,Others on the ball,729,0.03180212014134275,0.014860870451533992
original,20260716,Pass,Save attempt,0,0.0,0.0
original,20260716,Pass,Shot,185,0.008070496880862017,0.0037712771379064315
original,20260716,Save attempt,Duel,3,0.00013087292239235702,0.005758157389635317
original,20260716,Save attempt,Foul,0,0.0,0.0
original,20260716,Save attempt,Free Kick,0,0.0,0.0
original,20260716,Save attempt,Goalkeeper leaving line,10,0.0004362430746411901,0.019193857965451054
original,20260716,Save attempt,Interruption,14,0.0006107403044976661,0.026871401151631478
original,20260716,Save attempt,Offside,0,0.0,0.0
original,20260716,Save attempt,Others on the ball,3,0.00013087292239235702,0.005758157389635317
original,20260716,Save attempt,Pass,5,0.00021812153732059505,0.009596928982725527
original,20260716,Save attempt,Shot,0,0.0,0.0
original,20260716,Shot,Duel,202,0.00881211010775204,0.16476345840130505
original,20260716,Shot,Foul,11,0.00047986738210530907,0.00897226753670473
original,20260716,Shot,Free Kick,0,0.0,0.0
original,20260716,Shot,Goalkeeper leaving line,0,0.0,0.0
original,20260716,Shot,Interruption,15,0.0006543646119617851,0.012234910277324634
original,20260716,Shot,Offside,0,0.0,0.0
original,20260716,Shot,Others on the ball,54,0.002355712603062426,0.04404567699836868
original,20260716,Shot,Pass,430,0.018758452209571175,0.35073409461663946
original,20260716,Shot,Save attempt,0,0.0,0.0
original,20260717,Duel,Foul,245,0.010918003565062388,0.00914179104477612
original,20260717,Duel,Free Kick,3,0.00013368983957219252,0.00011194029850746269
original,20260717,Duel,Goalkeeper leaving line,1,4.45632798573975e-05,3.7313432835820896e-05
original,20260717,Duel,Interruption,310,0.013814616755793227,0.011567164179104477
original,20260717,Duel,Offside,0,0.0,0.0
original,20260717,Duel,Others on the ball,200,0.008912655971479501,0.007462686567164179
original,20260717,Duel,Pass,8084,0.3602495543672014,0.3016417910447761
original,20260717,Duel,Save attempt,0,0.0,0.0
original,20260717,Duel,Shot,228,0.010160427807486631,0.008507462686567165
original,20260717,Foul,Duel,34,0.0015151515151515152,0.02847571189279732
original,20260717,Foul,Free Kick,39,0.0017379679144385028,0.032663316582914576
original,20260717,Foul,Goalkeeper leaving line,0,0.0,0.0
original,20260717,Foul,Interruption,1,4.45632798573975e-05,0.0008375209380234506
original,20260717,Foul,Offside,0,0.0,0.0
original,20260717,Foul,Others on the ball,4,0.00017825311942959,0.0033500837520938024
original,20260717,Foul,Pass,425,0.01893939393939394,0.3559463986599665
original,20260717,Foul,Save attempt,0,0.0,0.0
original,20260717,Foul,Shot,15,0.0006684491978609625,0.01256281407035176
original,20260717,Free Kick,Duel,0,0.0,0.0
original,20260717,Free Kick,Foul,0,0.0,0.0
original,20260717,Free Kick,Goalkeeper leaving line,0,0.0,0.0
original,20260717,Free Kick,Interruption,1,4.45632798573975e-05,0.00018031013342949875
original,20260717,Free Kick,Offside,0,0.0,0.0
original,20260717,Free Kick,Others on the ball,1,4.45632798573975e-05,0.00018031013342949875
original,20260717,Free Kick,Pass,7,0.00031194295900178256,0.0012621709340064912
original,20260717,Free Kick,Save attempt,0,0.0,0.0
original,20260717,Free Kick,Shot,0,0.0,0.0
original,20260717,Goalkeeper leaving line,Duel,13,0.0005793226381461676,0.06565656565656566
original,20260717,Goalkeeper leaving line,Foul,0,0.0,0.0
original,20260717,Goalkeeper leaving line,Free Kick,0,0.0,0.0
original,20260717,Goalkeeper leaving line,Interruption,44,0.00196078431372549,0.2222222222222222
original,20260717,Goalkeeper leaving line,Offside,0,0.0,0.0
original,20260717,Goalkeeper leaving line,Others on the ball,15,0.0006684491978609625,0.07575757575757576
original,20260717,Goalkeeper leaving line,Pass,7,0.00031194295900178256,0.03535353535353535
original,20260717,Goalkeeper leaving line,Save attempt,0,0.0,0.0
original,20260717,Goalkeeper leaving line,Shot,0,0.0,0.0
original,20260717,Interruption,Duel,155,0.006907308377896613,0.036122116056863204
original,20260717,Interruption,Foul,0,0.0,0.0
original,20260717,Interruption,Free Kick,128,0.00570409982174688,0.029829876485667678
original,20260717,Interruption,Goalkeeper leaving line,5,0.0002228163992869875,0.0011652295502213937
original,20260717,Interruption,Offside,0,0.0,0.0
original,20260717,Interruption,Others on the ball,158,0.007040998217468806,0.036821253786996036
original,20260717,Interruption,Pass,962,0.0428698752228164,0.22419016546259612
original,20260717,Interruption,Save attempt,0,0.0,0.0
original,20260717,Interruption,Shot,3,0.00013368983957219252,0.0006991377301328362
original,20260717,Offside,Duel,3,0.00013368983957219252,0.011857707509881422
original,20260717,Offside,Foul,0,0.0,0.0
original,20260717,Offside,Free Kick,0,0.0,0.0
original,20260717,Offside,Goalkeeper leaving line,0,0.0,0.0
original,20260717,Offside,Interruption,12,0.0005347593582887701,0.04743083003952569
original,20260717,Offside,Others on the ball,58,0.002584670231729055,0.22924901185770752
original,20260717,Offside,Pass,178,0.007932263814616756,0.7035573122529645
original,20260717,Offside,Save attempt,0,0.0,0.0
original,20260717,Offside,Shot,2,8.9126559714795e-05,0.007905138339920948
original,20260717,Others on the ball,Duel,592,0.026381461675579324,0.07582938388625593
original,20260717,Others on the ball,Foul,58,0.002584670231729055,0.007429230178045344
original,20260717,Others on the ball,Free Kick,0,0.0,0.0
original,20260717,Others on the ball,Goalkeeper leaving line,4,0.00017825311942959,0.0005123607019341616
original,20260717,Others on the ball,Interruption,285,0.01270053475935829,0.03650570001280902
original,20260717,Others on the ball,Offside,0,0.0,0.0
original,20260717,Others on the ball,Pass,4773,0.2127005347593583,0.6113744075829384
original,20260717,Others on the ball,Save attempt,2,8.9126559714795e-05,0.0002561803509670808
original,20260717,Others on the ball,Shot,85,0.003787878787878788,0.010887664916100935
original,20260717,Pass,Duel,2444,0.1089126559714795,0.04982162878401794
original,20260717,Pass,Foul,549,0.02446524064171123,0.011191519722760166
original,20260717,Pass,Free Kick,26,0.0011586452762923352,0.0005300173274895525
original,20260717,Pass,Goalkeeper leaving line,1,4.45632798573975e-05,2.0385281826521252e-05
original,20260717,Pass,Interruption,643,0.028654188948306597,0.013107736214453165
original,20260717,Pass,Offside,0,0.0,0.0
original,20260717,Pass,Others on the ball,716,0.03190730837789661,0.014595861787789216
original,20260717,Pass,Save attempt,0,0.0,0.0
original,20260717,Pass,Shot,144,0.006417112299465241,0.0029354805830190604
original,20260717,Save attempt,Duel,3,0.00013368983957219252,0.005758157389635317
original,20260717,Save attempt,Foul,0,0.0,0.0
original,20260717,Save attempt,Free Kick,0,0.0,0.0
original,20260717,Save attempt,Goalkeeper leaving line,8,0.00035650623885918,0.015355086372360844
original,20260717,Save attempt,Interruption,11,0.0004901960784313725,0.02111324376199616
original,20260717,Save attempt,Offside,0,0.0,0.0
