split,mode,seed,event,support,precision,recall,f1
validation,base_post,20260715,2,431,0.9707207207207207,1.0,0.9851428571428571
validation,base_post,20260715,3,18,0.7142857142857143,0.5555555555555556,0.625
validation,base_post,20260715,4,326,0.6713483146067416,0.7331288343558282,0.7008797653958945
validation,base_post,20260715,5,25,0.0,0.0,0.0
validation,base_post,20260715,6,568,0.594488188976378,0.2658450704225352,0.36739659367396593
validation,base_post,20260715,7,3657,0.7558674643350207,0.8982772764561116,0.8209421466949893
validation,base_post,20260715,8,50,0.9795918367346939,0.96,0.9696969696969697
validation,base_post,20260715,9,90,0.532258064516129,0.36666666666666664,0.4342105263157895
validation,base_post,20260716,0,2049,0.8072768618533257,0.6930209858467545,0.7457983193277311
validation,base_post,20260716,1,82,0.5263157894736842,0.4878048780487805,0.5063291139240507
validation,base_post,20260716,2,431,0.9751131221719457,1.0,0.9873997709049256
validation,base_post,20260716,3,18,0.7142857142857143,0.5555555555555556,0.625
validation,base_post,20260716,4,326,0.6537313432835821,0.6717791411042945,0.6626323751891074
validation,base_post,20260716,5,25,0.0,0.0,0.0
validation,base_post,20260716,6,568,0.5652173913043478,0.2517605633802817,0.34835566382460414
validation,base_post,20260716,7,3657,0.7562966417910447,0.8867924528301887,0.8163624921334173
validation,base_post,20260716,8,50,0.9795918367346939,0.96,0.9696969696969697
validation,base_post,20260716,9,90,0.425,0.37777777777777777,0.4
validation,base_post,20260717,0,2049,0.8368200836820083,0.6832601268911664,0.7522837184309511
validation,base_post,20260717,1,82,0.4563106796116505,0.573170731707317,0.5081081081081081
validation,base_post,20260717,2,431,0.9729119638826185,1.0,0.9862700228832952
validation,base_post,20260717,3,18,0.8333333333333334,0.5555555555555556,0.6666666666666666
validation,base_post,20260717,4,326,0.6716867469879518,0.6840490797546013,0.6778115501519757
validation,base_post,20260717,5,25,0.0,0.0,0.0
validation,base_post,20260717,6,568,0.6232558139534884,0.23591549295774647,0.34227330779054915
validation,base_post,20260717,7,3657,0.7501136880400182,0.9021055509980859,0.8191185599006828
validation,base_post,20260717,8,50,0.98,0.98,0.98
validation,base_post,20260717,9,90,0.4857142857142857,0.37777777777777777,0.425
