split,mode,seed,group,value,samples,macro_f1_raw10,accuracy
validation,null,20260715,control_state,3,3310,0.5201897803605033,0.7359516616314199
validation,null,20260715,event_role,1,4234,0.43566341071392845,0.7446858762399622
validation,null,20260715,event_role,2,422,0.47844997000330797,0.7511848341232228
validation,null,20260715,event_role,3,2197,0.33401398093841644,0.781520254893036
validation,null,20260715,event_role,4,443,0.09862700228832952,0.9729119638826185
validation,null,20260715,switch_confirmed,False,6355,0.6234060558182541,0.790558615263572
validation,null,20260715,switch_confirmed,True,941,0.37926224473384285,0.6312433581296493
validation,null,20260716,player_mask,False,573,0.25970910995082264,0.7888307155322862
validation,null,20260716,player_mask,True,6723,0.5424284640038342,0.763647181317864
validation,null,20260716,event_true,0,2049,0.08125181106925529,0.6842362127867252
validation,null,20260716,event_true,1,82,0.06446280991735537,0.47560975609756095
validation,null,20260716,event_true,2,431,0.1,1.0
validation,null,20260716,event_true,3,18,0.06666666666666667,0.5
validation,null,20260716,event_true,4,326,0.07970479704797048,0.6625766871165644
validation,null,20260716,event_true,5,25,0.0,0.0
validation,null,20260716,event_true,6,568,0.04,0.25
validation,null,20260716,event_true,7,3657,0.09432162982228001,0.8925348646431501
validation,null,20260716,event_true,8,50,0.09795918367346938,0.96
validation,null,20260716,event_true,9,90,0.05600000000000001,0.3888888888888889
validation,null,20260716,control_state,1,459,0.21369598882069782,0.9738562091503268
validation,null,20260716,control_state,2,3527,0.21772141524427685,0.7731783385313298
validation,null,20260716,control_state,3,3310,0.5075819947489373,0.7287009063444109
validation,null,20260716,event_role,1,4234,0.42131770674289076,0.7413793103448276
validation,null,20260716,event_role,2,422,0.504966670349501,0.7322274881516587
validation,null,20260716,event_role,3,2197,0.3251632776292199,0.7765134274010014
validation,null,20260716,event_role,4,443,0.11873997709049255,0.9751693002257337
validation,null,20260716,switch_confirmed,False,6355,0.614149487787771,0.7844217151848938
validation,null,20260716,switch_confirmed,True,941,0.37425472433496354,0.638682252922423
validation,null,20260717,player_mask,False,573,0.2609315412390409,0.8080279232111692
validation,null,20260717,player_mask,True,6723,0.5524411221202368,0.7675145024542614
validation,null,20260717,event_true,0,2049,0.08107951247823564,0.6817959980478282
validation,null,20260717,event_true,1,82,0.07384615384615385,0.5853658536585366
validation,null,20260717,event_true,2,431,0.1,1.0
validation,null,20260717,event_true,3,18,0.07142857142857142,0.5555555555555556
validation,null,20260717,event_true,4,326,0.08123861566484517,0.6840490797546013
validation,null,20260717,event_true,5,25,0.0,0.0
validation,null,20260717,event_true,6,568,0.037945791726105564,0.23415492957746478
validation,null,20260717,event_true,7,3657,0.09483824586628324,0.9018321028165163
validation,null,20260717,event_true,8,50,0.09898989898989899,0.98
validation,null,20260717,event_true,9,90,0.05483870967741935,0.37777777777777777
validation,null,20260717,control_state,1,459,0.19862700228832952,0.9738562091503268
validation,null,20260717,control_state,2,3527,0.23466168200078458,0.779699461298554
validation,null,20260717,control_state,3,3310,0.5216001364979965,0.7329305135951661
validation,null,20260717,event_role,1,4234,0.4347411991219753,0.7458667926310817
validation,null,20260717,event_role,2,422,0.4735552115583076,0.7535545023696683
validation,null,20260717,event_role,3,2197,0.3310023582019202,0.7810650887573964
validation,null,20260717,event_role,4,443,0.09862700228832952,0.9729119638826185
validation,null,20260717,switch_confirmed,False,6355,0.628434629904696,0.788985051140834
validation,null,20260717,switch_confirmed,True,941,0.38327990419802,0.6471838469713072
validation,base_post,20260715,player_mask,False,573,0.264309379557887,0.837696335078534
validation,base_post,20260715,player_mask,True,6723,0.547992817877902,0.7673657593336308
validation,base_post,20260715,event_true,0,2049,0.08132059079061685,0.6852122986822841
validation,base_post,20260715,event_true,1,82,0.06333333333333332,0.4634146341463415
validation,base_post,20260715,event_true,2,431,0.1,1.0
validation,base_post,20260715,event_true,3,18,0.07142857142857142,0.5555555555555556
validation,base_post,20260715,event_true,4,326,0.08460176991150442,0.7331288343558282
validation,base_post,20260715,event_true,5,25,0.0,0.0
validation,base_post,20260715,event_true,6,568,0.04200278164116829,0.2658450704225352
validation,base_post,20260715,event_true,7,3657,0.09464131374243734,0.8982772764561116
validation,base_post,20260715,event_true,8,50,0.09795918367346938,0.96
validation,base_post,20260715,event_true,9,90,0.05365853658536586,0.36666666666666664
validation,base_post,20260715,control_state,1,459,0.19528847926267281,0.971677559912854
validation,base_post,20260715,control_state,2,3527,0.21805512285573442,0.7799829883753898
validation,base_post,20260715,control_state,3,3310,0.5214913682638068,0.7377643504531722
validation,base_post,20260715,event_role,1,4234,0.44371675767548674,0.7505904581955598
validation,base_post,20260715,event_role,2,422,0.4663345810234909,0.7440758293838863
validation,base_post,20260715,event_role,3,2197,0.3327454052255976,0.7810650887573964
validation,base_post,20260715,event_role,4,443,0.09862700228832952,0.9729119638826185
validation,base_post,20260715,switch_confirmed,False,6355,0.627245580046502,0.792918961447679
validation,base_post,20260715,switch_confirmed,True,941,0.3844622717188566,0.6376195536663124
validation,base_post,20260716,player_mask,False,573,0.2603708791208791,0.794066317626527
validation,base_post,20260716,player_mask,True,6723,0.5468921612335705,0.7634984381972334
validation,base_post,20260716,event_true,0,2049,0.08186797347938887,0.6930209858467545
validation,base_post,20260716,event_true,1,82,0.06557377049180327,0.4878048780487805
validation,base_post,20260716,event_true,2,431,0.1,1.0
validation,base_post,20260716,event_true,3,18,0.07142857142857142,0.5555555555555556
validation,base_post,20260716,event_true,4,326,0.08036697247706423,0.6717791411042945
validation,base_post,20260716,event_true,5,25,0.0,0.0
validation,base_post,20260716,event_true,6,568,0.04022503516174402,0.2517605633802817
validation,base_post,20260716,event_true,7,3657,0.094,0.8867924528301887
validation,base_post,20260716,event_true,8,50,0.09795918367346938,0.96
validation,base_post,20260716,event_true,9,90,0.05483870967741935,0.37777777777777777
validation,base_post,20260716,control_state,1,459,0.21369598882069782,0.9738562091503268
validation,base_post,20260716,control_state,2,3527,0.24633948075720596,0.7734618656081655
validation,base_post,20260716,control_state,3,3310,0.5096098869544743,0.7290030211480363
validation,base_post,20260716,event_role,1,4234,0.42892345189125153,0.7401983939537081
validation,base_post,20260716,event_role,2,422,0.5108083280197033,0.7345971563981043
validation,base_post,20260716,event_role,3,2197,0.328592254555206,0.7792444242148384
validation,base_post,20260716,event_role,4,443,0.11873997709049255,0.9751693002257337
validation,base_post,20260716,switch_confirmed,False,6355,0.6182612153683947,0.7859952793076318
validation,base_post,20260716,switch_confirmed,True,941,0.3761734897995397,0.6301806588735388
validation,base_post,20260717,player_mask,False,573,0.2609315412390409,0.8080279232111692
