view,seed,event_accuracy,event_macro_f1,time_mae_seconds,position_distance_mae_m
s20,20260715,3.7006578947369473e-03,-0.007960902704040485,0.004850149154663086,0.195953369140625
s20,20260716,0.0028782894736841813,0.01135211566756833,0.009029984474182129,0.06691741943359375
s20,20260717,0.0005482456140351033,-0.015999176663865966,0.02289891242980957,-0.613250732421875
s40,20260715,0.005345394736842146,-0.015871297048690614,-0.014773845672607422,0.5187454223632812
s40,20260716,0.0019188596491228616,-0.001398566351368813,0.02292346954345703,0.23505210876464844
s40,20260717,0.0005482456140351033,-0.002277730327615246,0.01638162136077881,-0.11894798278808594
p1,20260715,0.00685307017543868,-0.004994430234717462,0.04760181903839111,-0.4325733184814453
p1,20260716,0.004111842105263164,0.016499036162642033,0.007294416427612305,-0.5817337036132812
p1,20260717,-0.003837719298245612,-0.0348888398595798,0.013166546821594238,-0.4818077087402344
p2,20260715,0.0009594298245614308,-0.013893778594008421,-0.03143811225891113,0.6406822204589844
p2,20260716,0.0017817982456140857,0.020081767328231304,-0.0108872652053833,-0.4536609649658203
p2,20260717,0.0037006578947368363,-0.004657098496928969,0.010558485984802246,-0.10232353210449219
tr10,20260715,0.000822368421052655,-0.008281929072347816,0.016711711883544922,0.1339569091796875
tr10,20260716,0.0010964912280702066,0.011928820603651746,0.009600996971130371,-0.5532283782958984
tr10,20260717,-0.0035635964912280604,-0.00783987342811221,-0.0016777515411376953,-0.09708213806152344
sp30,20260715,0.0005482456140351033,-0.0004289239754360352,-0.010250091552734375,0.3893566131591797
sp30,20260716,-0.003837719298245612,0.010941391107414433,0.008087992668151855,-0.5497570037841797
sp30,20260717,-0.002467105263157854,-0.01649039731713875,0.017812013626098633,-0.1212310791015625
