variant,seed,point,raw_loss_event,raw_loss_time,raw_loss_position,raw_grad_event,raw_grad_time,raw_grad_position,effective_grad_event,effective_grad_time,effective_grad_position,cosine_event_time,cosine_event_position,cosine_time_position
j0,20260715,initial,0.07501059770584106,0.025022519752383232,0.04954677075147629,0.08698651194572449,0.06167025864124298,0.1263774037361145,0.08698651194572449,0.06167025864124298,0.1263774037361145,0.07611604034900665,-0.02804407849907875,-0.115776427090168
j0,20260715,best,0.02503008395433426,0.01279365736991167,0.022870603948831558,0.041677311062812805,0.018634328618645668,0.019276918843388557,0.041677311062812805,0.018634328618645668,0.019276918843388557,0.03948070853948593,0.0963151827454567,0.07539846003055573
j0,20260716,initial,0.07615331560373306,0.025728732347488403,0.054887138307094574,0.11751196533441544,0.05430195853114128,0.1446438431739807,0.11751196533441544,0.05430195853114128,0.1446438431739807,0.004371194634586573,0.09317038208246231,0.1445816606283188
j0,20260716,best,0.027592716738581657,0.014069581404328346,0.023460980504751205,0.05387483909726143,0.021035263314843178,0.023232316598296165,0.05387483909726143,0.021035263314843178,0.023232316598296165,0.08899010717868805,0.036521684378385544,-0.01322126667946577
j0,20260717,initial,0.07954781502485275,0.02701505273580551,0.04972388967871666,0.11850171536207199,0.0461060032248497,0.15784773230552673,0.11850171536207199,0.0461060032248497,0.15784773230552673,-0.006936528254300356,-0.125644713640213,-0.23295938968658447
j0,20260717,best,0.02456095442175865,0.013263598084449768,0.022328723222017288,0.02917645126581192,0.023316288366913795,0.02386939898133278,0.02917645126581192,0.023316288366913795,0.02386939898133278,0.07348943501710892,-0.06362626701593399,0.024274608120322227
j1,20260715,initial,1.1312958002090454,0.025022517889738083,0.04954677075147629,1.9711737632751465,0.06167025864124298,0.1263774037361145,1.9711737632751465,0.06167025864124298,0.1263774037361145,-0.2587703764438629,0.14768101274967194,-0.1157764345407486
j1,20260715,best,0.3029446601867676,0.01571286842226982,0.02548656240105629,0.21286436915397644,0.015081536024808884,0.029804227873682976,0.21286436915397644,0.015081536024808884,0.029804227873682976,0.01233859732747078,0.051353711634874344,0.05462593585252762
j1,20260716,initial,1.0210018157958984,0.025728732347488403,0.054887138307094574,1.536131501197815,0.05430195853114128,0.1446438431739807,1.536131501197815,0.05430195853114128,0.1446438431739807,-0.19846467673778534,0.012157844379544258,0.1445816606283188
j1,20260716,best,0.30432814359664917,0.016543885692954063,0.024725759401917458,0.20610728859901428,0.023485377430915833,0.033930275589227676,0.20610728859901428,0.023485377430915833,0.033930275589227676,0.03376138582825661,-0.0374768041074276,-0.018395332619547844
j1,20260717,initial,0.9454679489135742,0.02701505273580551,0.04972389340400696,1.9952841997146606,0.0461060032248497,0.15784773230552673,1.9952841997146606,0.0461060032248497,0.15784773230552673,0.19212394952774048,-0.051837094128131866,-0.23295940458774567
j1,20260717,best,0.3006650507450104,0.016169335693120956,0.026087496429681778,0.191819429397583,0.018691295757889748,0.021585538983345032,0.191819429397583,0.018691295757889748,0.021585538983345032,0.00934268906712532,-0.020756375044584274,0.002995159011334181
j2_005,20260715,initial,1.1312958002090454,0.025022517889738083,0.04954677075147629,1.971173644065857,0.06167025864124298,0.1263774037361145,0.09855868220329285,0.06167025864124298,0.1263774037361145,-0.2587704062461853,0.14768101274967194,-0.1157764345407486
j2_005,20260715,best,0.31588706374168396,0.012095315381884575,0.021582677960395813,0.18244877457618713,0.013369261287152767,0.02403910458087921,0.009122438728809357,0.013369261287152767,0.02403910458087921,-0.04735312610864639,-0.08302267640829086,0.08235399425029755
j2_005,20260716,initial,1.0210018157958984,0.025728732347488403,0.054887138307094574,1.536131501197815,0.05430195853114128,0.1446438431739807,0.07680657505989075,0.05430195853114128,0.1446438431739807,-0.19846467673778534,0.012157854624092579,0.1445816457271576
j2_005,20260716,best,0.31937548518180847,0.01287095807492733,0.02040613442659378,0.19996467232704163,0.021375324577093124,0.02292713336646557,0.009998233616352083,0.021375324577093124,0.02292713336646557,0.007857734337449074,-0.17461378872394562,0.01580161601305008
j2_005,20260717,initial,0.9454679489135742,0.02701505273580551,0.04972388967871666,1.9952841997146606,0.0461060032248497,0.15784773230552673,0.09976420998573304,0.0461060032248497,0.15784773230552673,0.19212394952774048,-0.051837094128131866,-0.23295938968658447
j2_005,20260717,best,0.32747119665145874,0.012490698136389256,0.020642712712287903,0.23117581009864807,0.016565145924687386,0.02351609617471695,0.011558790504932404,0.016565145924687386,0.02351609617471695,0.11572375148534775,-0.10394056141376495,0.025899359956383705
j2_010,20260715,initial,1.1312958002090454,0.025022517889738083,0.04954677075147629,1.971173644065857,0.06167025864124298,0.1263774037361145,0.1971173644065857,0.06167025864124298,0.1263774037361145,-0.2587704062461853,0.14768101274967194,-0.1157764196395874
j2_010,20260715,best,0.3117806017398834,0.01315753161907196,0.02084922417998314,0.17694585025310516,0.020848749205470085,0.015928393229842186,0.017694585025310516,0.020848749205470085,0.015928393229842186,0.07045968621969223,-0.01959175430238247,-0.020011503249406815
j2_010,20260716,initial,1.0210018157958984,0.025728732347488403,0.054887138307094574,1.536131501197815,0.05430195853114128,0.1446438431739807,0.1536131501197815,0.05430195853114128,0.1446438431739807,-0.19846467673778534,0.012157851830124855,0.1445816308259964
j2_010,20260716,best,0.31813257932662964,0.013259761035442352,0.0229390449821949,0.23776093125343323,0.02098960615694523,0.03151322901248932,0.023776093125343324,0.02098960615694523,0.03151322901248932,-0.07223507761955261,-0.11811631917953491,0.04067257419228554
j2_010,20260717,initial,0.9454679489135742,0.02701505273580551,0.04972388967871666,1.9952841997146606,0.0461060032248497,0.15784773230552673,0.1995284199714661,0.0461060032248497,0.15784773230552673,0.19212397933006287,-0.051837094128131866,-0.23295938968658447
j2_010,20260717,best,0.312254935503006,0.01228349469602108,0.02215271070599556,0.20288823544979095,0.016191646456718445,0.022034907713532448,0.020288823544979098,0.016191646456718445,0.022034907713532448,-0.0001212566567119211,-0.0649632066488266,-0.05654120072722435
j2_020,20260715,initial,1.1312958002090454,0.025022517889738083,0.04954677075147629,1.971173644065857,0.06167025864124298,0.1263774037361145,0.3942347288131714,0.06167025864124298,0.1263774037361145,-0.2587704658508301,0.14768101274967194,-0.1157764419913292
j2_020,20260715,best,0.3037656545639038,0.013084190897643566,0.022418003529310226,0.20014765858650208,0.017067287117242813,0.024431277066469193,0.04002953171730042,0.017067287117242813,0.024431277066469193,0.058266736567020416,-0.1241982951760292,-0.0030504947062581778
j2_020,20260716,initial,1.0210018157958984,0.025728732347488403,0.054887138307094574,1.536131501197815,0.05430195853114128,0.1446438431739807,0.307226300239563,0.05430195853114128,0.1446438431739807,-0.19846467673778534,0.012157849967479706,0.1445816457271576
j2_020,20260716,best,0.31576642394065857,0.013862080872058868,0.023254849016666412,0.20789584517478943,0.020671768113970757,0.025207648053765297,0.04157916903495789,0.020671768113970757,0.025207648053765297,-0.029210548847913742,-0.06443703919649124,0.016808122396469116
j2_020,20260717,initial,0.9454679489135742,0.02701505273580551,0.04972388967871666,1.9952841997146606,0.0461060032248497,0.15784773230552673,0.3990568399429322,0.0461060032248497,0.15784773230552673,0.19212397933006287,-0.05183710157871246,-0.23295940458774567
j2_020,20260717,best,0.3118143677711487,0.013180305249989033,0.02249687910079956,0.2092227339744568,0.01592816226184368,0.0206853486597538,0.04184454679489136,0.01592816226184368,0.0206853486597538,-0.0032035077456384897,-0.09681999683380127,0.051930952817201614
