variant,point,seed,raw_loss_event,raw_loss_time,raw_loss_position,raw_grad_event,raw_grad_time,raw_grad_position,effective_grad_event,effective_grad_time,effective_grad_position,cosine_event_time,cosine_event_position,cosine_time_position
j0,best,20260716.0,0.02572791837155819,0.013375612286229929,0.022886769225200016,0.04157620047529539,0.020995293433467548,0.02212621147433917,0.04157620047529539,0.020995293433467548,0.02212621147433917,0.06732008357842763,0.023070200035969417,0.028817267157137394
j0,initial,20260716.0,0.07690390944480896,0.025922101611892383,0.051385932912429176,0.1076667308807373,0.05402607346574465,0.1429563264052073,0.1076667308807373,0.05402607346574465,0.1429563264052073,0.024516902243097622,-0.020172803352276485,-0.06805138538281123
j1,best,20260716.0,0.3026459515094757,0.016142029936114948,0.02543327274421851,0.20359702905019125,0.019086069737871487,0.028440014148751896,0.20359702905019125,0.019086069737871487,0.028440014148751896,0.0184808907409509,-0.0022931558390458426,0.013075254081437985
j1,initial,20260716.0,1.032588521639506,0.025922100991010666,0.051385934154192604,1.8341964880625408,0.05402607346574465,0.1429563264052073,1.8341964880625408,0.05402607346574465,0.1429563264052073,-0.08837036788463593,0.03600058766702811,-0.06805139283339183
j2_005,best,20260716.0,0.3209112485249837,0.01248565719773372,0.0208771750330925,0.20452975233395895,0.017103243929644425,0.023494111374020576,0.010226487616697947,0.017103243929644425,0.023494111374020576,0.025409453238050144,-0.12052567551533382,0.041351656739910446
j2_005,initial,20260716.0,1.032588521639506,0.025922100991010666,0.051385932912429176,1.8341964483261108,0.05402607346574465,0.1429563264052073,0.09170982241630554,0.05402607346574465,0.1429563264052073,-0.08837037781874339,0.03600059108187755,-0.06805139283339183
j2_010,best,20260716.0,0.31405603885650635,0.012900262450178465,0.021980326622724533,0.20586500565210977,0.019343333939711254,0.02315884331862132,0.02058650056521098,0.019343333939711254,0.02315884331862132,-0.0006322160188574344,-0.06755709337691466,-0.011960043261448542
j2_010,initial,20260716.0,1.032588521639506,0.025922100991010666,0.051385932912429176,1.8341964483261108,0.05402607346574465,0.1429563264052073,0.18341964483261108,0.05402607346574465,0.1429563264052073,-0.08837036788463593,0.03600059015055498,-0.06805139283339183
j2_020,best,20260716.0,0.310448815425237,0.01337552567323049,0.022723243882258732,0.20575541257858276,0.01788907249768575,0.02344142459332943,0.04115108251571656,0.01788907249768575,0.02344142459332943,0.008617559991156062,-0.09515177706877391,0.02189619350247085
j2_020,initial,20260716.0,1.032588521639506,0.025922100991010666,0.051385932912429176,1.8341964483261108,0.05402607346574465,0.1429563264052073,0.36683928966522217,0.05402607346574465,0.1429563264052073,-0.08837038775285085,0.03600058704614639,-0.06805140028397243
