mode,anchor,age,head,mean_mass,std_seed,pair_mean_mass,bias_mean,samples,pairs
constant,Pass+CONTROL,age_gt20,3,0.15350266010458413,0.05160765853940642,0.15350850236661095,-0.13259382049242655,37915,2157327
constant,Pass+CONTROL,age_gt20,mean,0.16972908272241735,0.031131398865957838,0.16958134201581632,-0.1207607804487149,37915,2157327
constant,Pass+CONTROL,ends_at_anchor,0,0.22789520526935195,0.25801673646911255,0.22789520526935195,-0.11532442768414815,38348,38348
constant,Pass+CONTROL,ends_at_anchor,1,0.13976979870088987,0.062354105645860775,0.13976979870088987,-0.14674612631400427,38348,38348
constant,Pass+CONTROL,ends_at_anchor,2,0.1360153749197979,0.12071315083862104,0.1360153749197979,-0.0883787473042806,38348,38348
constant,Pass+CONTROL,ends_at_anchor,3,0.18207618779277082,0.15868517382469519,0.18207618779277082,-0.13259382049242655,38348,38348
constant,Pass+CONTROL,ends_at_anchor,mean,0.17143914167070262,0.04870146844328128,0.17143914167070262,-0.1207607804487149,38348,38348
constant,other,age_1_5,0,0.21481906610483636,0.04777755325093015,0.21480963990188792,-0.11532442768414815,58413,291553
constant,other,age_1_5,1,0.19925046171270622,0.06029905329125827,0.19927172763143672,-0.14674612631400427,58413,291553
constant,other,age_1_5,2,0.18942186872130762,0.009556595680516238,0.18942809877996183,-0.0883787473042806,58413,291553
constant,other,age_1_5,3,0.17096798920821007,0.040188854260946545,0.17096528552537546,-0.13259382049242655,58413,291553
constant,other,age_1_5,mean,0.19361484643676508,0.010558695448550162,0.1936186879596655,-0.1207607804487149,58413,291553
constant,other,age_6_20,0,0.19874039667310042,0.04438991834841232,0.19869947637564275,-0.11532442768414815,58239,869369
constant,other,age_6_20,1,0.19241534328767304,0.05015266699704016,0.19240441592260968,-0.14674612631400427,58239,869369
constant,other,age_6_20,2,0.17836019439586326,0.010461628155867049,0.17830592158739553,-0.0883787473042806,58239,869369
constant,other,age_6_20,3,0.1625307394699583,0.030140174658639968,0.16250951947892994,-0.13259382049242655,58239,869369
constant,other,age_6_20,mean,0.18301166845664874,0.01846257993861121,0.18297983334114445,-0.1207607804487149,58239,869369
constant,other,age_gt20,0,0.18413779580533177,0.06634199385053963,0.18405145457627667,-0.11532442768414815,57722,3292092
constant,other,age_gt20,1,0.18945621893172204,0.04778645536873471,0.18940622376445435,-0.14674612631400427,57722,3292092
constant,other,age_gt20,2,0.16786794572606503,0.010458369752679537,0.16764125350178705,-0.0883787473042806,57722,3292092
constant,other,age_gt20,3,0.15509722551610258,0.04861447917479416,0.15507967978946682,-0.13259382049242655,57722,3292092
constant,other,age_gt20,mean,0.17413979649480535,0.027237284390797107,0.1740446529079962,-0.1207607804487149,57722,3292092
constant,other,ends_at_anchor,0,0.30221955650274746,0.04948826044363668,0.30221955650274746,-0.11532442768414815,58429,58429
constant,other,ends_at_anchor,1,0.27078876373159444,0.11795814286469732,0.27078876373159444,-0.14674612631400427,58429,58429
constant,other,ends_at_anchor,2,0.24779661651720244,0.05992347064913964,0.24779661651720244,-0.0883787473042806,58429,58429
constant,other,ends_at_anchor,3,0.19777149581297424,0.08178846510895887,0.19777149581297424,-0.13259382049242655,58429,58429
constant,other,ends_at_anchor,mean,0.25464410814112964,0.0169193330120635,0.25464410814112964,-0.1207607804487149,58429,58429
transition,Pass+CONTROL,age_1_5,0,0.1606517432574431,0.0631880911759909,0.1606892592986883,-0.6582470294740356,38364,191477
transition,Pass+CONTROL,age_1_5,1,0.1342583552733899,0.06320586081980852,0.13428172761344925,-2.7719270955077104,38364,191477
transition,Pass+CONTROL,age_1_5,2,0.16984468125285326,0.024354805942939314,0.169904238646027,-0.5061010448585711,38364,191477
transition,Pass+CONTROL,age_1_5,3,0.14270088810586615,0.07645957662387934,0.14269086094308367,-2.1344445466595663,38364,191477
transition,Pass+CONTROL,age_1_5,mean,0.1518639169723881,0.04630581561330795,0.15189152162531205,-1.5176799291249707,38364,191477
transition,Pass+CONTROL,age_6_20,0,0.1454719872239094,0.0588345747100686,0.14547134850846494,-0.6401686140400193,38253,571171
transition,Pass+CONTROL,age_6_20,1,0.12037261602710103,0.03329796699383198,0.12041608765899421,-2.585670200569726,38253,571171
transition,Pass+CONTROL,age_6_20,2,0.1579190878877739,0.039857108609718354,0.15796255029618686,-0.473213205478983,38253,571171
transition,Pass+CONTROL,age_6_20,3,0.14019402673869544,0.09778036096070547,0.1402186542490116,-1.9694215789551819,38253,571171
transition,Pass+CONTROL,age_6_20,mean,0.14098942946936996,0.046675927689405004,0.1410171601781644,-1.4171183997609775,38253,571171
transition,Pass+CONTROL,age_gt20,0,0.1315144697990606,0.0733150979889044,0.13139421343462168,-0.6382695293604286,37915,2157327
transition,Pass+CONTROL,age_gt20,1,0.11401313313836525,0.03603994726002932,0.1140843464035396,-2.563069690684232,37915,2157327
transition,Pass+CONTROL,age_gt20,2,0.1466974276855464,0.04118663767918853,0.14663421395431495,-0.46872980586498647,37915,2157327
transition,Pass+CONTROL,age_gt20,3,0.14142012466519574,0.12155821224256619,0.1415095753867334,-1.9503609937777286,37915,2157327
transition,Pass+CONTROL,age_gt20,mean,0.133411288822042,0.05515226101629921,0.13340558729480242,-1.405107504921844,37915,2157327
transition,Pass+CONTROL,ends_at_anchor,0,0.15737774788693845,0.14286145389149812,0.15737774788693845,-0.7320923576228154,38348,38348
transition,Pass+CONTROL,ends_at_anchor,1,0.09115595814368294,0.13136309206330493,0.09115595814368294,-3.6157168053524935,38348,38348
transition,Pass+CONTROL,ends_at_anchor,2,0.10723146383402164,0.07055256302491529,0.10723146383402164,-0.6674140614146765,38348,38348
transition,Pass+CONTROL,ends_at_anchor,3,0.1057714143217815,0.12844011432559924,0.1057714143217815,-2.8705861929443746,38348,38348
transition,Pass+CONTROL,ends_at_anchor,mean,0.11538414604660613,0.06093597324383025,0.11538414604660613,-1.97145235433359,38348,38348
transition,other,age_1_5,0,0.1790678025577277,0.03675109202000219,0.17910071264336713,-0.6152088422650782,58413,291553
transition,other,age_1_5,1,0.1433527070028545,0.051879497956163936,0.14340574703480344,-2.3399609338430944,58413,291553
transition,other,age_1_5,2,0.17562776888593568,0.04092706275099984,0.1756870293514432,-0.4277880651355293,58413,291553
transition,other,age_1_5,3,0.14721722215550323,0.06367646672478741,0.14722530918212137,-1.760378763004517,58413,291553
transition,other,age_1_5,mean,0.16131637515050526,0.02957543520753219,0.16135469955293377,-1.2858341510620546,58413,291553
transition,other,age_6_20,0,0.1545790067600281,0.04922971356352169,0.15457239674699516,-0.627604161324221,58239,869369
transition,other,age_6_20,1,0.12272844125250275,0.04195584397187441,0.12276860446040776,-2.466635092058629,58239,869369
transition,other,age_6_20,2,0.16311672449199466,0.04472369275623641,0.163145242630504,-0.45024364764758923,58239,869369
transition,other,age_6_20,3,0.1408604597045228,0.09306047333324655,0.14089551946581433,-1.8722203741089247,58239,869369
transition,other,age_6_20,mean,0.14532115805226206,0.03955888887817984,0.14534544082593032,-1.3541758187848412,58239,869369
transition,other,age_gt20,0,0.13991741270623512,0.06046947792565171,0.1398803478184767,-0.6305959856038258,57722,3292092
transition,other,age_gt20,1,0.11695876617955776,0.040678446475447744,0.1170286351062451,-2.4926558897433035,57722,3292092
transition,other,age_gt20,2,0.15333529237732102,0.04370028751022724,0.15325994626449846,-0.45499670300733186,57722,3292092
transition,other,age_gt20,3,0.14308861623978017,0.11490682882142103,0.1431793460810105,-1.8933157119530588,57722,3292092
transition,other,age_gt20,mean,0.13832502187572354,0.04891489775713696,0.13833706881755767,-1.36789107257688,57722,3292092
transition,other,ends_at_anchor,0,0.28712865464152343,0.031016023937545715,0.28712865464152343,-0.566695594909857,58429,58429
transition,other,ends_at_anchor,1,0.22483649515206813,0.09971292966500345,0.22483649515206813,-1.785394212870348,58429,58429
transition,other,ends_at_anchor,2,0.2268717619470889,0.07331261226309777,0.2268717619470889,-0.321821199937604,58429,58429
transition,other,ends_at_anchor,3,0.19829639432333876,0.03415102676031323,0.19829639432333876,-1.2765377086355836,58429,58429
transition,other,ends_at_anchor,mean,0.2342833265160048,0.024162885395207077,0.2342833265160048,-0.9876121790883481,58429,58429
