seed,mode,anchor,age,head,pairs,samples,sample_mean_mass,pair_mean_mass,bias_mean
20260715,base,other,ends_at_anchor,0,58429,58429,0.3555612603557636,0.3555612603557636,0.0
20260715,base,other,ends_at_anchor,1,58429,58429,0.4207597089522398,0.4207597089522398,0.0
20260715,base,other,ends_at_anchor,2,58429,58429,0.19724808445882794,0.19724808445882794,0.0
20260715,base,other,ends_at_anchor,3,58429,58429,0.15901367617798876,0.15901367617798876,0.0
20260715,base,other,ends_at_anchor,mean,58429,58429,0.283145682486205,0.283145682486205,0.0
20260715,base,other,age_1_5,0,291553,58413,0.26986120851378564,0.26986704530196837,0.0
20260715,base,other,age_1_5,1,291553,58413,0.27273109188196126,0.2727680465691343,0.0
20260715,base,other,age_1_5,2,291553,58413,0.18510884141001382,0.18508984802228337,0.0
20260715,base,other,age_1_5,3,291553,58413,0.14823987083616968,0.14829885829825804,0.0
20260715,base,other,age_1_5,mean,291553,58413,0.21898525316048262,0.21900594954791103,0.0
20260715,base,other,age_6_20,0,869369,58239,0.233598502532091,0.23359258916921838,0.0
20260715,base,other,age_6_20,1,869369,58239,0.23892695317580248,0.23897229845992016,0.0
20260715,base,other,age_6_20,2,869369,58239,0.19652884905576457,0.19652307799852756,0.0
20260715,base,other,age_6_20,3,869369,58239,0.16671811290517782,0.16682751703377513,0.0
20260715,base,other,age_6_20,mean,869369,58239,0.20894310441720898,0.2089788706653603,0.0
20260715,base,other,age_gt20,0,3292092,57722,0.2219137181629454,0.2219034256513874,0.0
20260715,base,other,age_gt20,1,3292092,57722,0.23306122154193246,0.23311663817751704,0.0
20260715,base,other,age_gt20,2,3292092,57722,0.1880451980792285,0.1878813877368865,0.0
20260715,base,other,age_gt20,3,3292092,57722,0.15609119769448565,0.1561206279318042,0.0
20260715,base,other,age_gt20,mean,3292092,57722,0.199777833869648,0.19975551987439877,0.0
20260715,base,Pass+CONTROL,ends_at_anchor,0,38348,38348,0.5898851531021058,0.5898851531021058,0.0
20260715,base,Pass+CONTROL,ends_at_anchor,1,38348,38348,0.0979119701336372,0.0979119701336372,0.0
20260715,base,Pass+CONTROL,ends_at_anchor,2,38348,38348,0.25255188675854023,0.25255188675854023,0.0
20260715,base,Pass+CONTROL,ends_at_anchor,3,38348,38348,0.00958491864665032,0.00958491864665032,0.0
20260715,base,Pass+CONTROL,ends_at_anchor,mean,38348,38348,0.23748348216023338,0.23748348216023338,0.0
20260715,base,Pass+CONTROL,age_1_5,0,191477,38364,0.3147186683332231,0.3145418276049375,0.0
20260715,base,Pass+CONTROL,age_1_5,1,191477,38364,0.2149263763245629,0.21499804257021862,0.0
20260715,base,Pass+CONTROL,age_1_5,2,191477,38364,0.20096595189159036,0.2009728825385494,0.0
20260715,base,Pass+CONTROL,age_1_5,3,191477,38364,0.1250847222641355,0.12514299668129475,0.0
20260715,base,Pass+CONTROL,age_1_5,mean,191477,38364,0.21392392970337798,0.21391393734875008,0.0
20260715,base,Pass+CONTROL,age_6_20,0,571171,38253,0.23035975718658386,0.23031612122934947,0.0
20260715,base,Pass+CONTROL,age_6_20,1,571171,38253,0.23196540773786564,0.23205410363179302,0.0
20260715,base,Pass+CONTROL,age_6_20,2,571171,38253,0.18887267753059173,0.1888955846450503,0.0
20260715,base,Pass+CONTROL,age_6_20,3,571171,38253,0.15962260017986354,0.15965532461089502,0.0
20260715,base,Pass+CONTROL,age_6_20,mean,571171,38253,0.2027051106587262,0.20273028352927194,0.0
20260715,base,Pass+CONTROL,age_gt20,0,2157327,37915,0.21303081795903983,0.21273948460990377,0.0
20260715,base,Pass+CONTROL,age_gt20,1,2157327,37915,0.232618669137666,0.23273266262691705,0.0
20260715,base,Pass+CONTROL,age_gt20,2,2157327,37915,0.17741950815534657,0.17701033496212798,0.0
20260715,base,Pass+CONTROL,age_gt20,3,2157327,37915,0.15032527540651477,0.15048218813194034,0.0
20260715,base,Pass+CONTROL,age_gt20,mean,2157327,37915,0.19334856766464179,0.19324116758272228,0.0
20260715,constant,other,ends_at_anchor,0,58429,58429,0.34723783157029525,0.34723783157029525,-0.11479128897190094
20260715,constant,other,ends_at_anchor,1,58429,58429,0.40695981314870366,0.40695981314870366,-0.054212234914302826
20260715,constant,other,ends_at_anchor,2,58429,58429,0.19203179469479328,0.19203179469479328,-0.22357288002967834
20260715,constant,other,ends_at_anchor,3,58429,58429,0.15003807407311412,0.15003807407311412,-0.21280643343925476
20260715,constant,other,ends_at_anchor,mean,58429,58429,0.27406687837172655,0.27406687837172655,-0.15134570933878422
20260715,constant,other,age_1_5,0,291553,58413,0.24653665221525822,0.24650483313269905,-0.11479128897190094
20260715,constant,other,age_1_5,1,291553,58413,0.2678383758722303,0.2678697688619938,-0.054212234914302826
20260715,constant,other,age_1_5,2,291553,58413,0.18046728397352224,0.18042864472095077,-0.22357288002967834
20260715,constant,other,age_1_5,3,291553,58413,0.12638873060288244,0.12645277308304925,-0.21280643343925476
20260715,constant,other,age_1_5,mean,291553,58413,0.2053077606659733,0.20531400494967322,-0.15134570933878422
20260715,constant,other,age_6_20,0,869369,58239,0.21401247221028327,0.2139941133714606,-0.11479128897190094
20260715,constant,other,age_6_20,1,869369,58239,0.24590799071085942,0.24597274473072728,-0.054212234914302826
20260715,constant,other,age_6_20,2,869369,58239,0.1902143204627166,0.1902179577130464,-0.22357288002967834
