mode,seed,verified,original_seconds,candidate_seconds,relative_descriptive_time,other_four_max_error,calls_encoder,calls_shared_l1,calls_main_l2,calls_player_l2
context,20260715,True,0.166592926136218,0.16864575003273785,1.012322395338931,0.0,2,2,2,2
context,20260716,True,0.15798266092315316,0.15530149650294334,0.9830287424927346,0.0,2,2,2,2
context,20260717,True,0.1558267674408853,0.15683099254965782,1.0064444968298112,0.0,2,2,2,2
original,20260715,True,0.13865826709661633,0.13087140547577292,0.943841346182283,0.0,2,2,2,2
original,20260716,True,0.127672374015674,0.12239880138076842,0.9586944891127492,0.0,2,2,2,2
original,20260717,True,0.12913612299598753,0.13020546361804008,1.0082807242252874,0.0,2,2,2,2
state,20260715,True,0.1953939610393718,0.1882275399984792,0.9633232214405615,0.0,2,2,2,2
state,20260716,True,0.1952681199181825,0.19325744442176074,0.989703001712393,0.0,2,2,2,2
state,20260717,True,0.19272994110360742,0.19162969791796058,0.9942912700572281,0.0,2,2,2,2
