view,seed,group,samples,event_accuracy,event_macro_f1,time_mae_seconds,position_distance_mae_m
p2,20260716,CONTROL,48288,0.7847291252485089,0.24875769223704838,1.0461658239364624,11.825411796569824
p2,20260716,CONTESTED,43001,0.7378665612427618,0.5213873396194374,1.0914503335952759,19.927932739257812
p2,20260716,restart,5227,0.7505261144059691,0.44513480131708205,1.2607358694076538,19.778026580810547
p2,20260716,switch,11820,0.6848561759729273,0.40825554117342894,1.3649961948394775,19.14702033996582
p2,20260716,boundary,5425,0.9692165898617512,0.15975851166061886,9.174102783203125,29.630176544189453
p2,20260716,long_possession,13683,0.7947818460863846,0.6168959077101077,1.6223691701889038,15.430910110473633
p2,20260716,Shot,1228,0.3289902280130293,0.04950980392156863,0.7764174938201904,21.70812225341797
p2,20260716,Foul,1192,0.3976510067114094,0.05690276110444178,1.1870664358139038,36.316280364990234
p2,20260716,Interruption,4022,0.8468423669816012,0.09170705438879914,2.930267810821533,46.365234375
random_p1,20260716,CONTROL,48288,0.783403744201458,0.22359384964779844,1.0482162237167358,12.135549545288086
random_p1,20260716,CONTESTED,43001,0.6892630403944094,0.4721332359406335,1.1590266227722168,21.10831642150879
random_p1,20260716,restart,5227,0.7591352592309164,0.451934019879196,1.2281168699264526,19.409099578857422
random_p1,20260716,switch,11820,0.6831641285956007,0.40618999158332303,1.3840488195419312,18.201906204223633
random_p1,20260716,boundary,5425,0.968110599078341,0.14153207326298584,9.267056465148926,34.419677734375
random_p1,20260716,long_possession,13683,0.7713951618797047,0.5789648062822346,1.6542249917984009,16.658023834228516
random_p1,20260716,Shot,1228,0.24511400651465798,0.039372138652714196,0.7732594609260559,24.52070426940918
random_p1,20260716,Foul,1192,0.19546979865771813,0.03270175438596491,1.3298256397247314,36.60380554199219
random_p1,20260716,Interruption,4022,0.7635504724017902,0.08659241505709855,3.104038715362549,45.82919692993164
random_p2,20260716,CONTROL,48288,0.7837557985420809,0.23900591655272568,1.0635061264038086,12.428007125854492
random_p2,20260716,CONTESTED,43001,0.697727959814888,0.4672726902649821,1.1448692083358765,20.738697052001953
random_p2,20260716,restart,5227,0.751865314712072,0.44602821490775,1.2432162761688232,19.78388786315918
random_p2,20260716,switch,11820,0.6858714043993231,0.4110512214832278,1.3940484523773193,18.23085594177246
random_p2,20260716,boundary,5425,0.9666359447004609,0.10855927007825743,9.363466262817383,37.47605514526367
random_p2,20260716,long_possession,13683,0.7757070817803113,0.5736202253031559,1.6638662815093994,17.115882873535156
random_p2,20260716,Shot,1228,0.23697068403908794,0.03831468071099407,0.754335880279541,24.36452865600586
random_p2,20260716,Foul,1192,0.04949664429530201,0.009432454036770583,1.311248779296875,37.967002868652344
random_p2,20260716,Interruption,4022,0.808055693684734,0.08938393839383937,3.1653149127960205,45.80400085449219
f80,20260717,CONTROL,48288,0.780400927766733,0.20704186105782418,1.0561153888702393,11.519083023071289
f80,20260717,CONTESTED,43001,0.7209367224018046,0.5109405799036106,1.1102737188339233,20.234792709350586
f80,20260717,restart,5227,0.7463171991582169,0.43963248822772866,1.2428629398345947,19.216249465942383
