split,config,event_accuracy_mean,event_accuracy_std,event_macro_f1_mean,event_macro_f1_std,time_mae_mean,time_mae_std,position_error_mean,position_error_std
test,f80,0.7698701137795032,0.0045489351898628655,0.6017493794104579,0.011528901500241403,1.5387791792551677,0.016120223914304184,16.776185353597004,0.02725220609841352
test,lp1,0.7708647379905149,0.004822478862766655,0.6018211281179279,0.016865355232400278,1.5519039233525593,0.026841612863870067,16.35216776529948,0.05632884409229489
test,lp2,0.7707236321335893,0.0039935343842420895,0.6083698194140897,0.004536218514689427,1.5365249315897624,0.015066433871274704,16.868736902872723,0.274737869141981
test,p1,0.7709748693910422,0.0053803204361817115,0.599678232068617,0.020602898697443577,1.5517339706420898,0.04190528973532045,16.329003651936848,0.055752075589198376
test,p2,0.7724444352668277,0.002035045969012321,0.6071467482465375,0.005076561584956521,1.5225460131963093,0.00246410984123696,16.84731928507487,0.4895867608480742
test,recency_sf_b,0.7697083582849787,0.004138518298469901,0.6065049183937385,0.004800334742184365,1.536392331123352,0.020662531986899116,16.061251958211262,0.23446253966261535
test,semantic_sf_b,0.7683936646911848,0.0043012258290771425,0.6043810229804878,0.007900750805326961,1.539751370747884,0.02873544491620374,16.11970583597819,0.26384845811460667
validation,f80,0.7711988304093568,0.00227840965639467,0.6054694660556971,0.012106979345565325,1.461074948310852,0.016931037499083167,17.30596860249837,0.057747326253800746
validation,lp1,0.7722039473684211,0.006994161634963391,0.599499336208292,0.013817738016680542,1.4847862720489502,0.025804768242074505,16.828576405843098,0.043474141376953844
validation,lp2,0.7721125730994153,0.003977930290760279,0.6101349229151123,0.007024725305223032,1.4639381170272827,0.009599478900894102,17.353790918986004,0.28003632088726366
validation,p1,0.7735745614035089,0.007493386476335902,0.597674721411812,0.01995636836192483,1.483762542406718,0.03728986810247009,16.80726369222005,0.06600807751873547
validation,p2,0.7733461257309941,0.0015035163260146932,0.6059797628014617,0.005488218807641528,1.4504859844843547,0.004692218434426483,17.334201176961262,0.5121430223181571
validation,recency_sf_b,0.7735745614035089,0.003859684166756803,0.6104706432563568,0.005277698342211048,1.461373011271159,0.005357263313611225,16.622262954711914,0.2409744546593436
validation,semantic_sf_b,0.771655701754386,0.004578753587853609,0.60617019103567,0.004886443597712759,1.4628002643585205,0.020751567193320355,16.63608233133952,0.27847512822588166
