config,seed,split,event_accuracy,event_macro_f1,time_mae_seconds,position_distance_mae_m
f80,20260715,validation,0.7715186403508771,0.6150164913439635,1.4789901971817017,17.241905212402344
f80,20260716,validation,0.7733004385964912,0.5918517643598279,1.4588954448699951,17.321979522705078
f80,20260717,validation,0.7687774122807017,0.6095401424632997,1.4453392028808594,17.354021072387695
p1,20260715,validation,0.7783717105263158,0.6100220611092461,1.5265920162200928,16.8093318939209
p1,20260716,validation,0.7774122807017544,0.6083508005224699,1.4661898612976074,16.740245819091797
p1,20260717,validation,0.7649396929824561,0.5746513026037199,1.4585057497024536,16.87221336364746
lp1,20260715,validation,0.7774122807017544,0.6112179661008219,1.514532446861267,16.7858829498291
lp1,20260716,validation,0.7749451754385965,0.6030173966399806,1.4714164733886719,16.827054977416992
lp1,20260717,validation,0.7642543859649122,0.5842626458840736,1.4684098958969116,16.872791290283203
p2,20260715,validation,0.7724780701754386,0.6011227127499551,1.4475520849227905,17.882587432861328
p2,20260716,validation,0.7750822368421053,0.6119335316880592,1.4480081796646118,16.868318557739258
p2,20260717,validation,0.7724780701754386,0.6048830439663707,1.4558976888656616,17.251697540283203
lp2,20260715,validation,0.7739857456140351,0.6179347297953638,1.4727650880813599,17.425106048583984
lp2,20260716,validation,0.7748081140350878,0.6081634968761833,1.4537183046340942,17.044992446899414
lp2,20260717,validation,0.7675438596491229,0.6043065420737899,1.465330958366394,17.59127426147461
semantic_sf_b,20260715,validation,0.7708333333333334,0.6105206687286927,1.4867581129074097,16.67964744567871
semantic_sf_b,20260716,validation,0.7765899122807017,0.6008833064966814,1.4504423141479492,16.33839225769043
semantic_sf_b,20260717,validation,0.7675438596491229,0.6071065978816359,1.4512003660202026,16.890207290649414
recency_sf_b,20260715,validation,0.776452850877193,0.6156843725657544,1.46660315990448,16.568140029907227
recency_sf_b,20260716,validation,0.7750822368421053,0.6051312212266658,1.4616187810897827,16.412952423095703
recency_sf_b,20260717,validation,0.7691885964912281,0.6105963359766503,1.4558970928192139,16.885696411132812
f80,20260715,test,0.7708716212030479,0.6109198687392734,1.5567837953567505,16.746126174926758
f80,20260716,test,0.7738348441984844,0.5888069723146486,1.5256857872009277,16.799278259277344
f80,20260717,test,0.7649038759369773,0.6055212971774516,1.5338679552078247,16.783151626586914
p1,20260715,test,0.7745782311520433,0.6136846106470473,1.6000936031341553,16.291240692138672
p1,20260716,test,0.7735560740908997,0.609328734684664,1.528990387916565,16.302732467651367
p1,20260717,test,0.7647903029301836,0.5760213508741399,1.5261179208755493,16.393037796020508
lp1,20260715,test,0.7736489974600945,0.6143048660861513,1.58204185962677,16.294797897338867
lp1,20260716,test,0.7736489974600945,0.6085236564496668,1.5430999994277954,16.354310989379883
lp1,20260717,test,0.7652962190513557,0.5826348618179653,1.5305699110031128,16.407394409179688
p2,20260715,test,0.7704483036322712,0.6021662607007393,1.5253527164459229,17.38484764099121
p2,20260716,test,0.7745162822392467,0.612314217333165,1.5215471982955933,16.426921844482422
p2,20260717,test,0.7723687199289653,0.6069597667057083,1.520738124847412,16.730188369750977
lp2,20260715,test,0.7714085117806182,0.6126074274497608,1.5505479574203491,16.98686981201172
lp2,20260716,test,0.774330435500857,0.6089173400229685,1.5205963850021362,16.554691314697266
lp2,20260717,test,0.7664319491192929,0.60358469076954,1.5384304523468018,17.06464958190918
semantic_sf_b,20260715,test,0.7652136205009602,0.6099326926497645,1.5729115009307861,16.107067108154297
semantic_sf_b,20260716,test,0.7732876288021145,0.5953357315346032,1.5221563577651978,15.862403869628906
semantic_sf_b,20260717,test,0.7666797447704793,0.6078746447570957,1.5241862535476685,16.389646530151367
recency_sf_b,20260715,test,0.7681355442211989,0.6111264013507377,1.5601704120635986,15.971831321716309
recency_sf_b,20260716,test,0.774402709232453,0.6015437740976192,1.5228025913238525,15.884657859802246
recency_sf_b,20260717,test,0.7665868214012844,0.6068445797328588,1.526203989982605,16.327266693115234
