configuration,samples,collate_ms_per_batch,h2d_ms_per_batch,forward_ms_per_batch,full_inference_ms_per_batch,samples_per_second,peak_cuda_memory_bytes,collate_ms_per_batch_relative_to_f80,h2d_ms_per_batch_relative_to_f80,forward_ms_per_batch_relative_to_f80,full_inference_ms_per_batch_relative_to_f80,peak_cuda_memory_bytes_relative_to_f80
rf_f80,2560,1344.6696143597364,3.146033827215433,78.80712514743209,1298.3307670801878,197.17625622915617,719299072,1.0,1.0,1.0,1.0,1.0
rf_core_u5,2560,2298.4054386615753,5.04348324611783,128.74794537201524,2386.3834304735065,107.27530066247755,741375488,1.709271492504097,1.6031242901739036,1.6337094536966554,1.838039651359597,1.0306915674708392
rf_core_u10,2560,3135.541791561991,4.196716286242008,129.7340135090053,2741.473310533911,93.38044584141626,741375488,2.3318306281911316,1.333970490061939,1.6462218773530868,2.1115368903251075,1.0306915674708392
rf_task,2560,3242.235033866018,5.251295492053032,200.07547214627266,3364.7494832985103,76.0829301767333,742386176,2.4111759492756932,1.6691796021471816,2.5387992744561125,2.591596508850734,1.0320966686858175
