configuration,seed,split,event_accuracy,event_macro_f1,time_mae_seconds,position_distance_mae_m,position_median_m,team_accuracy,team_macro_f1,player_top1,player_top3,player_top5,player_mrr,player_coverage,core_etp_loss
rf_f80,20260715,validation_guarded_core,0.7700109649122807,0.6113833906108748,1.4358500242233276,16.38300323486328,9.714862823486328,0.8648574561403509,0.8603980501133295,0.40874609549308344,0.6799048044027963,0.7886360255838167,0.5746003081000206,0.9214638157894737,0.030657648942188212
rf_f80,20260716,validation_guarded_core,0.7646655701754386,0.5957027053076251,1.4225943088531494,15.5677490234375,8.613554000854492,0.868421052631579,0.8647751894474853,0.4130596459913729,0.6855570429867619,0.795775695374089,0.5784274404707066,0.9214638157894737,0.031005358715590677
rf_f80,20260717,validation_guarded_core,0.7687774122807017,0.614875374476876,1.4123969078063965,16.370014190673828,9.705856323242188,0.8643092105263158,0.860950077446316,0.41365461847389556,0.6802022906440577,0.7987505577867023,0.5784528764131196,0.9214638157894737,0.030429293254488392
rf_core_u5,20260715,validation_guarded_core,0.7676809210526315,0.6087877033809306,1.427435040473938,16.001047134399414,9.200594902038574,0.8652686403508771,0.8614775417531092,0.4155882790420943,0.6828796668154098,0.796221924735981,0.5797297583256797,0.9214638157894737,0.030496341356059962
rf_core_u5,20260716,validation_guarded_core,0.7741228070175439,0.6115790294014338,1.418622374534607,16.08333969116211,9.420482635498047,0.864172149122807,0.8603371628726209,0.4121671872675889,0.678714859437751,0.7947344935296743,0.5762735516150508,0.9214638157894737,0.030081211540259813
rf_core_u5,20260717,validation_guarded_core,0.7712445175438597,0.5950812731794917,1.4039618968963623,16.164081573486328,9.496973037719727,0.8645833333333334,0.8602133948045898,0.4121671872675889,0.6903168228469433,0.8064852000594972,0.5812404779829923,0.9214638157894737,0.029998467712287317
rf_core_u10,20260715,validation_guarded_core,0.7706962719298246,0.6061428156354728,1.4350762367248535,16.144865036010742,9.54598617553711,0.8644462719298246,0.8595145483044608,0.41469582031831026,0.6854082998661312,0.8014279339580545,0.5806833862011284,0.9214638157894737,0.030395405203626866
rf_core_u10,20260716,validation_guarded_core,0.7719298245614035,0.616405058461139,1.3966460227966309,16.142051696777344,9.554062843322754,0.8640350877192983,0.8606325623869484,0.415290792800833,0.6845158411423472,0.8011304477167931,0.5802429674665708,0.9214638157894737,0.030024497361298193
rf_core_u10,20260717,validation_guarded_core,0.7717927631578947,0.6208059128655239,1.4091821908950806,16.252464294433594,9.755090713500977,0.864172149122807,0.8598657351304443,0.4191581139372304,0.6821359512122565,0.7993455302692251,0.5819735966700502,0.9214638157894737,0.0301505787984321
rf_task,20260715,validation_guarded_core,0.7749451754385965,0.6156678086785531,1.4228713512420654,15.699234008789062,8.867084503173828,0.8630756578947368,0.8599204102674802,0.40934106797560615,0.6827309236947792,0.7978580990629184,0.5765137153999838,0.9214638157894737,0.029861745179483767
rf_task,20260716,validation_guarded_core,0.7759046052631579,0.6165235499962218,1.4240325689315796,15.95389175415039,9.204299926757812,0.8666392543859649,0.8627836805040183,0.416183251524617,0.6840696117804551,0.800237988993009,0.5806030740186314,0.9214638157894737,0.03024709058043204
rf_task,20260717,validation_guarded_core,0.7757675438596491,0.6206234064025471,1.3960816860198975,16.078155517578125,9.596220970153809,0.8610197368421053,0.8569269560380948,0.4129109028707422,0.6921017402945113,0.800237988993009,0.5814089544407232,0.9214638157894737,0.030133525726565143
rf_f80,20260715,test,0.7696429677659157,0.6108335313546428,1.5000888109207153,15.935161590576172,9.335325241088867,0.8694633159188057,0.8640381996912584,0.41208558297264736,0.6808821560840659,0.7953795011378341,0.5776859465255934,0.9255580564561092,0.030860725783415817
rf_f80,20260716,test,0.766287401656101,0.6180464104329151,1.4924538135528564,15.010984420776367,8.196486473083496,0.8745018274929275,0.8700959628570182,0.4164695908259337,0.6853777163000312,0.795981883896301,0.5812017147539869,0.9255580564561092,0.030793511415906652
rf_f80,20260717,test,0.7696945918599128,0.6174726422358793,1.4844191074371338,15.936367988586426,9.342247009277344,0.868895450884837,0.8645540582978051,0.4146178216054616,0.6870621569764848,0.8004328231671947,0.5812731901986676,0.9255580564561092,0.030686927469958852
rf_core_u5,20260715,test,0.7701488838870878,0.6215838878385671,1.478078007698059,15.584673881530762,8.86270809173584,0.8708261920003304,0.8662554182488413,0.41523135960019636,0.6876422292624158,0.8025188523492928,0.5819943160529429,0.9255580564561092,0.030504803543007542
rf_core_u5,20260716,test,0.7760443554215624,0.620313627830462,1.4777542352676392,15.583136558532715,8.94588565826416,0.8710430131951185,0.8662243396585569,0.41368078175895767,0.6800789790727768,0.7935946633349694,0.5780987287164505,0.9255580564561092,0.030036525024757278
rf_core_u5,20260717,test,0.7764470233547401,0.6146894124268084,1.469970703125,15.665604591369629,9.037101745605469,0.8701034546843703,0.8647640496680822,0.41749587256258086,0.6896167060818348,0.8044933291687117,0.5838916946873995,0.9255580564561092,0.030028095455993657
rf_core_u10,20260715,test,0.7713465628678217,0.6146421078567514,1.495371699333191,15.759721755981445,9.07293701171875,0.8699589072211783,0.8642097459376022,0.41744009638124135,0.687374503591986,0.801793761991879,0.5829763994920597,0.9255580564561092,0.030731302529818372
rf_core_u10,20260716,test,0.7771594358519008,0.6248215050331065,1.4766324758529663,15.70722770690918,9.018325805664062,0.8719309476118694,0.8676759098924445,0.4175181830351167,0.6879545758779171,0.800979429744322,0.5827498243316963,0.9255580564561092,0.030130307044095642
rf_core_u10,20260717,test,0.771811179713796,0.6200440173732563,1.4790037870407104,15.862958908081055,9.222258567810059,0.8695665641067999,0.8641655632743912,0.4167261612600955,0.6899067422248003,0.805162643344786,0.5833734249389838,0.9255580564561092,0.030568571809906124
rf_task,20260715,test,0.772337745472567,0.6271829019724908,1.4893373250961304,15.375824928283691,8.442691802978516,0.871249509571107,0.86726832105832,0.4156441033421088,0.6876199187898799,0.8012583106510196,0.5818347216244845,0.9255580564561092,0.030369441080018798
rf_task,20260716,test,0.7754764903875937,0.6281374918898116,1.489649772644043,15.54413890838623,8.87350845336914,0.8705370970739463,0.8659316869021755,0.41745125161750923,0.6867051894159119,0.8000089241890144,0.5825423178642491,0.9255580564561092,0.030373137225480493
