,,seed,seed,event_accuracy,event_accuracy,event_macro_f1,event_macro_f1,time_mae_seconds,time_mae_seconds,position_distance_mae_m,position_distance_mae_m,position_median_m,position_median_m,team_accuracy,team_accuracy,team_macro_f1,team_macro_f1,player_top1,player_top1,player_top3,player_top3,player_top5,player_top5,player_mrr,player_mrr,player_coverage,player_coverage,core_etp_loss,core_etp_loss
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
split,configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test,rf_core_u10,20260716.0,1.0,0.7734390594778394,0.0032303045486294637,0.6198358767543715,0.005092889514452356,1.4836693207422893,0.010203677165653376,15.776636123657227,0.0792314560639421,9.104507128397623,0.10556821050610918,0.8704854729799493,0.0012670954831794045,0.865350406368146,0.0020140662869120272,0.4172281468921512,0.0004364820299521098,0.6884119405649011,0.001326629174281285,0.8026452783603291,0.0022177982552703955,0.5830332162542465,0.00031565889453867373,0.9255580564561092,0.0,0.030476727127940046,0.00031084638918421094
test,rf_core_u5,20260716.0,1.0,0.7742134208877968,0.003525745472761981,0.6188623093652792,0.003669222229079595,1.4752676486968994,0.004590145034791778,15.611138343811035,0.0471754166153898,8.948565165201822,0.08722769884372601,0.870657553293273,0.0004919571210159556,0.8657479358584935,0.0008522121194016768,0.4154693379739116,0.0019186465906309348,0.6857793048056758,0.005034374317973228,0.800202281617658,0.005806901428894388,0.5813282464855977,0.00295336252203331,0.9255580564561092,0.0,0.030189808007919493,0.0002728266936196684
test,rf_f80,20260716.0,1.0,0.7685416537606432,0.0019524102219807464,0.6154508613411457,0.004009002948262451,1.4923205773035686,0.007835701355937167,15.627504666646322,0.5339225356029669,8.958019574483236,0.6595160923846689,0.87095353143219,0.003086004111336313,0.8662294069486939,0.0033584547740940483,0.41439099846801425,0.0022007879875581573,0.6844406764535274,0.00319478254549925,0.79726473606711,0.0027601264739531683,0.580053617159416,0.002050774331197241,0.9255580564561092,0.0,0.030780388223093775,8.763918691044772e-05
test,rf_task,20260716.0,1.0,0.7736937383415587,0.0016123034629977374,0.625468339053845,0.003826294988692186,1.4842133124669392,0.00914697191899685,15.518781026204428,0.13211511735310524,8.7807985941569,0.30259789693130307,0.8698418926081181,0.0018556067370667222,0.8653035441582233,0.002342876848495094,0.41596760519387804,0.0013512578558648267,0.6885160561034015,0.0023885320707537007,0.8012620290631088,0.0012549682117013715,0.5822877693192681,0.0003933504086517816,0.9255580564561092,0.0,0.030349159465515505,3.8374269296768786e-05
validation_guarded_core,rf_core_u10,20260716.0,1.0,0.7714729532163743,0.0006761078484533435,0.6144512623207119,0.007524267048240912,1.4136348168055217,0.019598207667181924,16.17979367574056,0.06295032037513272,9.618379910786947,0.11846387983121974,0.86421783625731,0.00020936475214528371,0.8600042819406178,0.0005717388268406152,0.41638157568545786,0.002422884966606311,0.684020030740245,0.001691578373665722,0.8006346373146909,0.001126264732173169,0.5809666501125831,0.0008994154727563345,0.9214638157894738,0.0,0.030190160454452386,0.00018859530083013576
validation_guarded_core,rf_core_u5,20260716.0,1.0,0.7710160818713451,0.003227012680265049,0.6051493353206187,0.008830191486959998,1.4166731039683025,0.011857354644222598,16.082822799682617,0.08151844861561923,9.37268352508545,0.15386216573490594,0.8646747076023392,0.0005539270674790036,0.8606760331434399,0.0006968799553699417,0.413307551192424,0.001975168256933086,0.6839704497000346,0.005877392637309673,0.7991472061083842,0.006398259866424797,0.5790812626412409,0.0025461734771397527,0.9214638157894738,0.0,0.030192006869535697,0.00026678876481755484
validation_guarded_core,rf_f80,20260716.0,1.0,0.7678179824561404,0.0027988730614942623,0.607320490131792,0.010211668864371966,1.4236137469609578,0.01175974523356139,16.106922149658203,0.4669827875266856,9.344757715861002,0.6332570046127826,0.8658625730994153,0.002232600826547986,0.8620411056690437,0.00238381923071877,0.4118201199861173,0.0026787530684198447,0.6818880460112053,0.0031809241771720183,0.7943874262482028,0.005198212076783675,0.5771602083279489,0.002216975108002405,0.9214638157894738,0.0,0.030697433637422427,0.0002900861429815403
validation_guarded_core,rf_task,20260716.0,1.0,0.7755391081871345,0.0005189060988486983,0.6176049216924406,0.002648869713585548,1.4143285353978474,0.015812897925326835,15.91042709350586,0.19316381648604142,9.222535133361816,0.3649101107669258,0.863578216374269,0.00284326715688989,0.8598770156031978,0.0029286033685193614,0.4128117407903218,0.0034221694534656982,0.6863007585899151,0.005068191294779286,0.7994446923496454,0.0013740300917795185,0.5795085812864461,0.0026247432392711625,0.9214638157894738,0.0,0.030080787162160314,0.0001980120871048216
