configuration,seed,task,layer,relation,message_norm
pg_constant,20260716,shared,layer2,event__performed_by_team__team,80.7557144165039
pg_constant,20260716,shared,layer2,event__has_type__event_type,76.19771575927734
pg_constant,20260716,shared,layer2,event_type__describes__event,191.7036590576172
pg_constant,20260716,shared,layer2,event__has_tag__tag,83.660888671875
pg_constant,20260716,shared,layer2,tag__describes__event,180.46717834472656
pg_constant,20260716,shared,layer2,event__starts_in__zone,78.82455444335938
pg_constant,20260716,shared,layer2,zone__start_of__event,169.85523986816406
pg_constant,20260716,shared,layer2,event__ends_in__zone,89.2723617553711
pg_constant,20260716,shared,layer2,zone__end_of__event,162.64474487304688
pg_constant,20260716,shared,layer2,event__belongs_to__possession,77.95635223388672
pg_constant,20260716,shared,layer2,possession__contains__event,186.67535400390625
pg_constant,20260716,shared,layer2,possession__owned_by__team,0.0
pg_constant,20260716,shared,layer2,team__has_possession__possession,0.0
pg_constant,20260716,shared,layer2,possession__next__possession,0.0
pg_constant,20260717,shared,layer1,event__next__event,74.57120513916016
pg_constant,20260717,shared,layer1,event__gap_0_2s__event,50.888126373291016
pg_constant,20260717,shared,layer1,event__gap_2_5s__event,74.8228530883789
pg_constant,20260717,shared,layer1,event__gap_5_15s__event,59.631927490234375
pg_constant,20260717,shared,layer1,event__gap_15_60s__event,39.52408981323242
pg_constant,20260717,shared,layer1,event__gap_60plus__event,0.0
pg_constant,20260717,shared,layer1,event__period_break__event,0.0
pg_constant,20260717,shared,layer1,player__performs__event,88.92070770263672
pg_constant,20260717,shared,layer1,event__performed_by__player,66.69296264648438
pg_constant,20260717,shared,layer1,team__performs__event,89.4398193359375
pg_constant,20260717,shared,layer1,event__performed_by_team__team,62.546199798583984
pg_constant,20260717,shared,layer1,event__has_type__event_type,53.00631332397461
pg_constant,20260717,shared,layer1,event_type__describes__event,94.99827575683594
pg_constant,20260717,shared,layer1,event__has_tag__tag,72.0419921875
pg_constant,20260717,shared,layer1,tag__describes__event,92.25212097167969
pg_constant,20260717,shared,layer1,event__starts_in__zone,77.17988586425781
pg_constant,20260717,shared,layer1,zone__start_of__event,89.10804748535156
pg_constant,20260717,shared,layer1,event__ends_in__zone,73.12612915039062
pg_constant,20260717,shared,layer1,zone__end_of__event,111.32315063476562
pg_constant,20260717,shared,layer1,event__belongs_to__possession,60.53577423095703
pg_constant,20260717,shared,layer1,possession__contains__event,78.63066101074219
pg_constant,20260717,shared,layer1,possession__owned_by__team,0.0
pg_constant,20260717,shared,layer1,team__has_possession__possession,0.0
pg_constant,20260717,shared,layer1,possession__next__possession,0.0
pg_constant,20260717,shared,layer2,event__next__event,123.46105194091797
pg_constant,20260717,shared,layer2,event__gap_0_2s__event,107.0409164428711
pg_constant,20260717,shared,layer2,event__gap_2_5s__event,86.15653228759766
pg_constant,20260717,shared,layer2,event__gap_5_15s__event,55.04823684692383
pg_constant,20260717,shared,layer2,event__gap_15_60s__event,38.25933074951172
pg_constant,20260717,shared,layer2,event__gap_60plus__event,0.0
pg_constant,20260717,shared,layer2,event__period_break__event,0.0
pg_constant,20260717,shared,layer2,player__performs__event,102.54454040527344
pg_constant,20260717,shared,layer2,event__performed_by__player,76.387939453125
pg_constant,20260717,shared,layer2,team__performs__event,122.81815338134766
pg_constant,20260717,shared,layer2,event__performed_by_team__team,77.45846557617188
pg_constant,20260717,shared,layer2,event__has_type__event_type,88.34561920166016
pg_constant,20260717,shared,layer2,event_type__describes__event,173.55419921875
pg_constant,20260717,shared,layer2,event__has_tag__tag,105.27790832519531
pg_constant,20260717,shared,layer2,tag__describes__event,243.61985778808594
pg_constant,20260717,shared,layer2,event__starts_in__zone,75.63349914550781
pg_constant,20260717,shared,layer2,zone__start_of__event,212.6889190673828
pg_constant,20260717,shared,layer2,event__ends_in__zone,77.50834655761719
pg_constant,20260717,shared,layer2,zone__end_of__event,130.04783630371094
pg_constant,20260717,shared,layer2,event__belongs_to__possession,84.91476440429688
pg_constant,20260717,shared,layer2,possession__contains__event,128.21755981445312
pg_constant,20260717,shared,layer2,possession__owned_by__team,0.0
pg_constant,20260717,shared,layer2,team__has_possession__possession,0.0
pg_constant,20260717,shared,layer2,possession__next__possession,0.0
pg_shared,20260715,shared,layer1,event__next__event,73.71601104736328
pg_shared,20260715,shared,layer1,event__gap_0_2s__event,60.01525115966797
pg_shared,20260715,shared,layer1,event__gap_2_5s__event,70.7589340209961
pg_shared,20260715,shared,layer1,event__gap_5_15s__event,55.55793380737305
pg_shared,20260715,shared,layer1,event__gap_15_60s__event,46.6236686706543
pg_shared,20260715,shared,layer1,event__gap_60plus__event,0.0
pg_shared,20260715,shared,layer1,event__period_break__event,0.0
pg_shared,20260715,shared,layer1,player__performs__event,71.73018646240234
pg_shared,20260715,shared,layer1,event__performed_by__player,67.4903793334961
pg_shared,20260715,shared,layer1,team__performs__event,57.694278717041016
