configuration,seed,split,event_accuracy,event_macro_f1,time_mae_seconds,position_distance_mae_m,position_median_m,team_accuracy,team_macro_f1,player_top1,player_top3,player_top5,player_mrr,player_coverage,core_etp_loss
partial_l2_f80,20260715,validation_guarded_core,0.7700109649122807,0.6113833906108748,1.4358500242233276,16.38300323486328,9.714862823486328,0.8648574561403509,0.8603980501133295,0.40874609549308344,0.6799048044027963,0.7886360255838167,0.5746003081000206,0.9214638157894737,0.030657648942188212
partial_l2_f80,20260716,validation_guarded_core,0.7646655701754386,0.5957027053076251,1.4225943088531494,15.5677490234375,8.613554000854492,0.868421052631579,0.8647751894474853,0.4130596459913729,0.6855570429867619,0.795775695374089,0.5784274404707066,0.9214638157894737,0.031005358715590677
partial_l2_f80,20260717,validation_guarded_core,0.7687774122807017,0.614875374476876,1.4123969078063965,16.370014190673828,9.705856323242188,0.8643092105263158,0.860950077446316,0.41365461847389556,0.6802022906440577,0.7987505577867023,0.5784528764131196,0.9214638157894737,0.030429293254488392
ap_task,20260715,validation_guarded_core,0.7678179824561403,0.6107973296418472,1.4257489442825317,16.53886604309082,9.990705490112305,0.8633497807017544,0.8598992835039185,0.41276215975011155,0.6793098319202737,0.7929495760821063,0.576227456636226,0.9214638157894737,0.030625214179356892
ap_task,20260716,validation_guarded_core,0.7752192982456141,0.6178568053580317,1.4074888229370117,16.081022262573242,9.352039337158203,0.8680098684210527,0.8643085458129632,0.40829986613119146,0.6843670980217165,0.7990480440279637,0.5769118181964265,0.9214638157894737,0.03037341200468833
ap_task,20260717,validation_guarded_core,0.7728892543859649,0.6135326865199808,1.423497200012207,16.208898544311523,9.496829986572266,0.8626644736842105,0.8579144936082248,0.41841439833407706,0.6915067678119887,0.8057414844563439,0.5848323238191181,0.9214638157894737,0.030296893986432177
pg_constant,20260715,validation_guarded_core,0.7737116228070176,0.6075308192302559,1.4164468050003052,16.283977508544922,9.680360794067383,0.8626644736842105,0.8594343450036321,0.40963855421686746,0.6821359512122565,0.7916108879964302,0.5758080327391263,0.9214638157894737,0.030475944084556478
pg_constant,20260716,validation_guarded_core,0.7726151315789473,0.6077487090456231,1.4338520765304565,16.093137741088867,9.722761154174805,0.8685581140350878,0.8646419766795472,0.41990182954038374,0.6867469879518072,0.7969656403391343,0.5830255390277503,0.9214638157894737,0.03055892682127785
pg_constant,20260717,validation_guarded_core,0.774671052631579,0.6188477932527038,1.417832374572754,15.778827667236328,9.105671882629395,0.8636239035087719,0.8603985040114527,0.4132083891120036,0.6803510337646884,0.7942882641677822,0.5785367718319986,0.9214638157894737,0.03026197367070014
pg_shared,20260715,validation_guarded_core,0.7724780701754386,0.6092741006148727,1.418948769569397,16.071727752685547,9.349475860595703,0.8628015350877193,0.8591865756239919,0.41023352669939017,0.6837721255391939,0.797114383459765,0.5779779051268874,0.9214638157894737,0.030538037713421017
pg_shared,20260716,validation_guarded_core,0.7694627192982456,0.6055672750618539,1.4101282358169556,15.824163436889648,9.08320426940918,0.8678728070175439,0.8641613158538182,0.41752193961029305,0.6882344191581139,0.797560612821657,0.5824256193521464,0.9214638157894737,0.030673997574730924
pg_shared,20260717,validation_guarded_core,0.7709703947368421,0.6149399323726262,1.4114316701889038,15.65511417388916,9.242778778076172,0.8640350877192983,0.8607777146840621,0.41692696712777033,0.6925479696564034,0.8044027963706678,0.5842571917138266,0.9214638157894737,0.03011580769037991
pg_task,20260715,validation_guarded_core,0.7687774122807017,0.6097846638305968,1.4164413213729858,16.05198097229004,9.325374603271484,0.8670504385964912,0.8638301330782457,0.4105310129406515,0.676483712628291,0.7893797411869701,0.5750141211962795,0.9214638157894737,0.030536505017887083
pg_task,20260716,validation_guarded_core,0.7741228070175439,0.6069196311872117,1.4235032796859741,15.445621490478516,8.77172565460205,0.8671875,0.8643512062710981,0.41172095790569685,0.6864495017105459,0.8008329614755317,0.5798389008120588,0.9214638157894737,0.03008702786214519
pg_task,20260717,validation_guarded_core,0.7738486842105263,0.615784432631704,1.4044588804244995,16.191591262817383,9.783000946044922,0.8611567982456141,0.8575878406379209,0.41380336159452624,0.6874907035549606,0.8015766770786851,0.579911828710507,0.9214638157894737,0.030241514180313078
partial_l2_f80,20260715,test,0.7696429677659157,0.6108335313546428,1.5000888109207153,15.935161590576172,9.335325241088867,0.8694633159188057,0.8640381996912584,0.41208558297264736,0.6808821560840659,0.7953795011378341,0.5776859465255934,0.9255580564561092,0.030860725783415817
partial_l2_f80,20260716,test,0.766287401656101,0.6180464104329151,1.4924538135528564,15.010984420776367,8.196486473083496,0.8745018274929275,0.8700959628570182,0.4164695908259337,0.6853777163000312,0.795981883896301,0.5812017147539869,0.9255580564561092,0.030793511415906652
partial_l2_f80,20260717,test,0.7696945918599128,0.6174726422358793,1.4844191074371338,15.936367988586426,9.342247009277344,0.868895450884837,0.8645540582978051,0.4146178216054616,0.6870621569764848,0.8004328231671947,0.5812731901986676,0.9255580564561092,0.030686927469958852
