configuration,samples,parameters,collate_ms_per_batch,h2d_ms_per_batch,forward_ms_per_batch,full_inference_ms_per_batch,samples_per_second,peak_cuda_memory_bytes,encoder_calls,shared_l1_calls,main_l2_calls,player_l2_calls,residual_paths_per_layer,parameters_relative_to_f80,collate_ms_per_batch_relative_to_f80,h2d_ms_per_batch_relative_to_f80,forward_ms_per_batch_relative_to_f80,full_inference_ms_per_batch_relative_to_f80,peak_cuda_memory_bytes_relative_to_f80
partial_l2_f80,2560,557705,1785.867290571332,5.738034192472696,79.38902713358402,1313.127626851201,194.95439343841406,712613376,1,1,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
ap_task,2560,560122,1059.0990859083831,2.8571899980306625,82.71190896630287,1322.474158462137,193.5765612975714,712726528,1,1,1,1,0,1.004333832402435,0.5930446744279402,0.49793882402771306,1.0418556814801068,1.0071177632850117,1.000158784558094
pg_constant,2560,590345,1072.3099814727902,2.969505824148655,79.54480675980449,1542.4689333885908,165.9676862584217,724710400,1,1,1,1,1,1.0585255645905989,0.6004421421088565,0.5175127447034266,1.0019622312030394,1.1746527160405087,1.0169755780727865
pg_shared,2560,593819,1236.0154195688665,2.969594020396471,95.1649097725749,1284.2940481379628,199.33129828886328,724727296,1,1,1,1,1,1.064754664204194,0.6921093331484012,0.5175281151673969,1.1987161602628733,0.9780420591847729,1.016999287984176
pg_task,2560,593851,1054.4181182049215,3.1306193210184574,134.24824718385935,1300.7828657515347,196.80456034612246,725008896,1,1,1,1,3,1.0648120422086946,0.5904235570984637,0.5455909142412023,1.6910176636623397,0.9905989632330954,1.0173944531740027
rf_task,2560,557705,3575.175733026117,5.282626301050186,174.5215956121683,3329.1574286296964,76.89633352826193,726502912,1,3,3,1,0,1.0,2.0019268799544183,0.9206334650253695,2.19830878288141,2.535288543591768,1.0194909841265736
