configuration,seed,task,layer,node_type,residual_norm,base_norm,norm_ratio,cosine
pg_constant,20260715,shared,layer1,event,63.276824951171875,159.86331176757812,0.3958183040969945,0.015291621908545494
pg_constant,20260715,shared,layer1,player,37.7672004699707,138.07083129882812,0.2735349683542555,-0.04852231964468956
pg_constant,20260715,shared,layer1,team,6.253188133239746,32.8896369934082,0.19012639557235067,-0.03624309226870537
pg_constant,20260715,shared,layer1,event_type,22.653783798217773,55.5217399597168,0.4080164601227192,0.09347400814294815
pg_constant,20260715,shared,layer1,tag,16.85354232788086,85.44561767578125,0.19724291059408933,-0.02182772569358349
pg_constant,20260715,shared,layer1,zone,38.8260383605957,103.26996612548828,0.37596640937614256,0.01243730541318655
pg_constant,20260715,shared,layer1,possession,27.732492446899414,90.7849349975586,0.3054746081786059,-0.1347532570362091
pg_constant,20260715,shared,layer2,event,49.17006301879883,157.0743408203125,0.31303688916987177,0.0825490728020668
pg_constant,20260715,shared,layer2,player,0.0,137.63677978515625,0.0,0.0
pg_constant,20260715,shared,layer2,team,0.0,31.999906539916992,0.0,0.0
pg_constant,20260715,shared,layer2,event_type,0.0,53.66547775268555,0.0,0.0
pg_constant,20260715,shared,layer2,tag,0.0,79.19574737548828,0.0,0.0
pg_constant,20260715,shared,layer2,zone,0.0,91.91278076171875,0.0,0.0
pg_constant,20260715,shared,layer2,possession,0.0,87.999755859375,0.0,0.0
pg_constant,20260716,shared,layer1,event,51.29212188720703,161.37022399902344,0.31785369454229323,0.029459454119205475
pg_constant,20260716,shared,layer1,player,36.2584114074707,136.85287475585938,0.2649444629654613,-0.010268435813486576
pg_constant,20260716,shared,layer1,team,5.059225082397461,33.53011703491211,0.15088599533159136,-0.014876458793878555
pg_constant,20260716,shared,layer1,event_type,16.666019439697266,55.43545913696289,0.30063825030331187,0.12981972098350525
pg_constant,20260716,shared,layer1,tag,20.944534301757812,85.73418426513672,0.24429618688603746,-0.003048163140192628
pg_constant,20260716,shared,layer1,zone,38.174072265625,103.0984878540039,0.37026801323878467,0.03942226618528366
pg_constant,20260716,shared,layer1,possession,29.195863723754883,93.3253402709961,0.3128396171819633,0.02553764544427395
pg_constant,20260716,shared,layer2,event,49.02369689941406,156.91806030273438,0.31241589913127293,0.07316473126411438
pg_constant,20260716,shared,layer2,player,0.0,137.63677978515625,0.0,0.0
pg_constant,20260716,shared,layer2,team,0.0,31.999906539916992,0.0,0.0
pg_constant,20260716,shared,layer2,event_type,0.0,53.66548156738281,0.0,0.0
pg_constant,20260716,shared,layer2,tag,0.0,79.19576263427734,0.0,0.0
pg_constant,20260716,shared,layer2,zone,0.0,91.91278076171875,0.0,0.0
pg_constant,20260716,shared,layer2,possession,0.0,87.99977111816406,0.0,0.0
