configuration,seed,layer,task,expected_age,normalized_entropy,effective_sample_size,bucket_0_4,bucket_5_9,bucket_10_19,bucket_20_39,bucket_40_79
pg_constant,20260715,layer1,event,39.5,1.0,79.99999237060547,1.0,1.0,1.0,1.0,1.0
pg_constant,20260715,layer2,event,39.5,1.0,79.99999237060547,1.0,1.0,1.0,1.0,1.0
pg_constant,20260716,layer1,event,39.5,1.0,79.99999237060547,1.0,1.0,1.0,1.0,1.0
pg_constant,20260716,layer2,event,39.5,1.0,79.99999237060547,1.0,1.0,1.0,1.0,1.0
pg_constant,20260717,layer1,event,39.5,1.0,79.99999237060547,1.0,1.0,1.0,1.0,1.0
pg_constant,20260717,layer2,event,39.5,1.0,79.99999237060547,1.0,1.0,1.0,1.0,1.0
pg_shared,20260715,layer1,event,36.49232482910156,0.909588098526001,46.07973098754883,1.2273142337799072,0.5600001215934753,0.9293279051780701,0.868675708770752,0.7197001576423645
pg_shared,20260715,layer2,event,36.26934051513672,0.9529629349708557,56.98189926147461,1.3099230527877808,0.9372928738594055,1.196136236190796,0.8620074391365051,0.8443283438682556
pg_shared,20260716,layer1,event,37.54071807861328,0.9544214010238647,60.525962829589844,1.3623589277267456,1.204727292060852,1.334621787071228,1.2242827415466309,0.9835959672927856
pg_shared,20260716,layer2,event,40.855926513671875,0.9644057750701904,64.3851547241211,1.156099557876587,1.011548399925232,1.17546546459198,1.5270522832870483,1.3313788175582886
pg_shared,20260717,layer1,event,39.10909652709961,0.9371671080589294,53.11908721923828,1.569817304611206,0.9948284029960632,0.6875165104866028,0.8220988512039185,0.9643738865852356
pg_shared,20260717,layer2,event,39.858062744140625,0.989376425743103,73.91024017333984,1.7211185693740845,1.3559898138046265,1.5014399290084839,1.3364195823669434,1.582971453666687
pg_task,20260715,layer1,event,39.01786804199219,0.9691972732543945,64.92578125,1.390234351158142,1.192020297050476,1.192657709121704,1.2505472898483276,1.1632370948791504
pg_task,20260715,layer1,time,39.534969329833984,0.9835537672042847,71.23756408691406,1.5198177099227905,1.4418410062789917,1.3790310621261597,1.513696551322937,1.4211550951004028
pg_task,20260715,layer1,position,39.41960525512695,0.8801853060722351,32.716819763183594,0.0010637816740199924,0.0012119280872866511,0.00040951953269541264,0.0008690819377079606,0.0008905099821276963
pg_task,20260715,layer2,event,38.06597137451172,0.9727709293365479,67.05876159667969,1.4451820850372314,1.1946675777435303,1.6297653913497925,1.2053650617599487,1.213149905204773
pg_task,20260715,layer2,time,38.58843231201172,0.9841322302818298,72.15091705322266,1.5783483982086182,1.4493846893310547,1.7767750024795532,1.4190428256988525,1.4345053434371948
pg_task,20260715,layer2,position,21.56273078918457,0.5603868365287781,4.872262001037598,0.49109959602355957,0.011951866559684277,0.038082774728536606,0.021812355145812035,0.035138823091983795
pg_task,20260716,layer1,event,38.615013122558594,0.9808956384658813,69.5162124633789,1.489188551902771,1.2249513864517212,1.4803005456924438,1.3761141300201416,1.222454309463501
pg_task,20260716,layer1,time,38.702125549316406,0.9842272400856018,71.187744140625,1.5903587341308594,1.3299331665039062,1.5901049375534058,1.4701493978500366,1.319061040878296
pg_task,20260716,layer1,position,39.635047912597656,0.9249714016914368,43.28688049316406,0.006636698730289936,0.0020441736560314894,0.0025594800245016813,0.0034746676683425903,0.003342162584885955
pg_task,20260716,layer2,event,39.02791976928711,0.9903227090835571,74.60733795166016,1.5233280658721924,1.5551396608352661,1.5824533700942993,1.6094143390655518,1.4781125783920288
pg_task,20260716,layer2,time,39.351829528808594,0.9958404898643494,77.57975769042969,1.7345364093780518,1.7592086791992188,1.7842142581939697,1.7942228317260742,1.7227461338043213
pg_task,20260716,layer2,position,35.80217742919922,0.9267182350158691,43.636474609375,0.1939551681280136,0.262671560049057,0.14479367434978485,0.12363865226507187,0.12041907757520676
pg_task,20260717,layer1,event,39.960792541503906,0.9772388339042664,67.40779113769531,1.5489628314971924,1.1597356796264648,1.0556234121322632,1.2450895309448242,1.2841640710830688
pg_task,20260717,layer1,time,39.967262268066406,0.9770375490188599,67.3153305053711,1.5472711324691772,1.1576486825942993,1.0536079406738281,1.2426528930664062,1.2825826406478882
pg_task,20260717,layer1,position,35.54623031616211,0.9104479551315308,36.61751174926758,0.0018450983334332705,0.0007946855621412396,0.0008203272591345012,0.0010960825020447373,0.0009472524980083108
pg_task,20260717,layer2,event,40.043182373046875,0.9905203580856323,74.62692260742188,1.774269461631775,1.4369853734970093,1.6361446380615234,1.420603632926941,1.6687443256378174
pg_task,20260717,layer2,time,40.0330696105957,0.9910540580749512,74.90122985839844,1.7816047668457031,1.4484580755233765,1.6506458520889282,1.4380232095718384,1.6809685230255127
pg_task,20260717,layer2,position,30.485572814941406,0.5855481028556824,6.08292293548584,0.4069945812225342,0.024445179849863052,0.028427621349692345,0.03714201599359512,0.08730348199605942
