variant,seed,group,samples,event_accuracy,event_macro_f1,time_mae_seconds,position_distance_mae_m
t2_transition,20260715,CONTROL,48288,0.7802559642147118,0.20790363270123108,1.0408538579940796,13.133967399597168
t2_transition,20260715,CONTESTED,43001,0.7078672589009558,0.4971784227531632,1.1425162553787231,20.165451049804688
t2_transition,20260715,restart,5227,0.7476563994643198,0.4357027869949893,1.2642898559570312,20.457361221313477
t2_transition,20260715,switch,11820,0.6493231810490694,0.38017506497965353,1.3907214403152466,19.28396224975586
t2_transition,20260715,boundary,5425,0.9686635944700461,0.14940322355002836,9.993170738220215,33.77649688720703
t2_transition,20260715,possession_1_3_events,43604,0.736331529217503,0.5655888065192509,1.3617019653320312,17.73900032043457
t2_transition,20260715,possession_4_10_events,39237,0.7732242526187018,0.5956521248087936,1.757582426071167,17.319915771484375
t2_transition,20260715,possession_11plus_events,13683,0.7871080903310678,0.6053567810860581,1.6922571659088135,16.356670379638672
t2_transition,20260715,pass_heavy_possession,40599,0.7677529003177418,0.5432964251945188,1.1483304500579834,13.114383697509766
c1_categorical,20260715,CONTROL,48288,0.773918986083499,0.20309361552435484,1.0555492639541626,13.653886795043945
c1_categorical,20260715,CONTESTED,43001,0.6973326201716239,0.4741208328103584,1.1299453973770142,20.433643341064453
c1_categorical,20260715,restart,5227,0.7394298832982591,0.43006374030129646,1.272804856300354,20.193666458129883
c1_categorical,20260715,switch,11820,0.6317258883248731,0.3848797272632949,1.4141958951950073,19.56802749633789
c1_categorical,20260715,boundary,5425,0.9699539170506912,0.1681929275837905,9.685094833374023,30.03290557861328
c1_categorical,20260715,possession_1_3_events,43604,0.726194844509678,0.5480284478634883,1.3515219688415527,17.70966148376465
c1_categorical,20260715,possession_4_10_events,39237,0.7674898692560593,0.5793322305691357,1.737884759902954,17.58845329284668
c1_categorical,20260715,possession_11plus_events,13683,0.7811152525031061,0.5786445837689027,1.675764560699463,16.855472564697266
c1_categorical,20260715,pass_heavy_possession,40599,0.7596492524446415,0.525220661046464,1.1374857425689697,13.492984771728516
d2_dynamic,20260715,CONTROL,48288,0.7789927104042412,0.23992697872889016,1.0649468898773193,12.311553001403809
d2_dynamic,20260715,CONTESTED,43001,0.7361456710309062,0.5157308446928963,1.1036217212677002,19.28257179260254
d2_dynamic,20260715,restart,5227,0.7555002869714942,0.46148549765238345,1.250453233718872,19.388954162597656
d2_dynamic,20260715,switch,11820,0.6767343485617597,0.4131140341104387,1.3948214054107666,18.117128372192383
d2_dynamic,20260715,boundary,5425,0.9690322580645161,0.15558387893098638,9.538753509521484,35.945255279541016
d2_dynamic,20260715,possession_1_3_events,43604,0.751926428768003,0.5945176134109699,1.3464733362197876,16.971479415893555
d2_dynamic,20260715,possession_4_10_events,39237,0.7836735734128502,0.6143401095968496,1.711402416229248,16.717256546020508
d2_dynamic,20260715,possession_11plus_events,13683,0.7921508441131331,0.615182130000396,1.6621954441070557,15.743520736694336
d2_dynamic,20260715,pass_heavy_possession,40599,0.7761028596763467,0.5740986275044087,1.1359525918960571,11.868525505065918
v3_j0,20260715,CONTROL,48288,0.6983929754804507,0.16419321699109454,1.0453743934631348,11.418004989624023
v3_j0,20260715,CONTESTED,43001,0.46736122415757775,0.3491328895996075,1.1373039484024048,21.240190505981445
v3_j0,20260715,restart,5227,0.49225176965754736,0.3280579156885824,1.242477297782898,19.899032592773438
v3_j0,20260715,switch,11820,0.48214890016920475,0.28890191352800815,1.398297667503357,18.594167709350586
v3_j0,20260715,boundary,5425,0.9644239631336405,0.0982258518727119,9.425189018249512,33.57868194580078
v3_j0,20260715,possession_1_3_events,43604,0.5851068709292725,0.46697358119450055,1.347194790840149,17.128995895385742
v3_j0,20260715,possession_4_10_events,39237,0.6306292530009939,0.4922057538930715,1.7126487493515015,17.0316219329834
v3_j0,20260715,possession_11plus_events,13683,0.6413798143681941,0.505665132201774,1.640609622001648,16.45110511779785
v3_j0,20260715,pass_heavy_possession,40599,0.6551146579965024,0.4579493891898993,1.1279829740524292,11.66049861907959
b0,20260716,CONTROL,48288,0.779696819085487,0.20947266735913148,1.0449507236480713,13.040770530700684
b0,20260716,CONTESTED,43001,0.7097276807516104,0.4984452365827548,1.1322014331817627,19.956022262573242
b0,20260716,restart,5227,0.7455519418404438,0.44399584903101924,1.241166591644287,20.701679229736328
b0,20260716,switch,11820,0.66082910321489,0.38482436209874227,1.4111814498901367,18.04557228088379
b0,20260716,boundary,5425,0.9690322580645161,0.15558387893098638,9.381904602050781,30.923734664916992
b0,20260716,possession_1_3_events,43604,0.7389001009081736,0.571924524107259,1.3306374549865723,17.15874671936035
b0,20260716,possession_4_10_events,39237,0.7731732803221449,0.5951610773143339,1.7166475057601929,17.140851974487305
b0,20260716,possession_11plus_events,13683,0.7833808375356281,0.5886984194197656,1.6531004905700684,16.598526000976562
b0,20260716,pass_heavy_possession,40599,0.7715707283430626,0.5480227401363937,1.1233036518096924,12.567195892333984
t0_membership,20260716,CONTROL,48288,0.7806287276341949,0.21363628991880246,1.0374715328216553,13.326258659362793
t0_membership,20260716,CONTESTED,43001,0.7048673286667752,0.4925163616177527,1.1336005926132202,20.725879669189453
t0_membership,20260716,restart,5227,0.7354122823799503,0.41781773206765027,1.284968376159668,21.113845825195312
t0_membership,20260716,switch,11820,0.6549915397631134,0.3867563027459278,1.401453971862793,18.948802947998047
t0_membership,20260716,boundary,5425,0.9701382488479263,0.1683470493732687,9.125225067138672,30.64525604248047
t0_membership,20260716,possession_1_3_events,43604,0.7364232639207412,0.5604736369962977,1.331230878829956,17.703367233276367
t0_membership,20260716,possession_4_10_events,39237,0.7716186252771619,0.5920517460739326,1.683876872062683,17.610977172851562
t0_membership,20260716,possession_11plus_events,13683,0.7839655046407952,0.597397160103818,1.6171797513961792,16.888591766357422
t0_membership,20260716,pass_heavy_possession,40599,0.7710781053720535,0.5434207053405948,1.1124438047409058,12.953607559204102
t1_owner,20260716,CONTROL,48288,0.78004887342611,0.21331330940892573,1.0393342971801758,13.522215843200684
t1_owner,20260716,CONTESTED,43001,0.7067044952442967,0.4869627666290567,1.1290385723114014,21.030200958251953
t1_owner,20260716,restart,5227,0.7348383393916205,0.4214199737574047,1.2910032272338867,21.18747329711914
t1_owner,20260716,switch,11820,0.6516074450084602,0.38610122541923847,1.4011915922164917,19.204416275024414
t1_owner,20260716,boundary,5425,0.9695852534562212,0.16151516695628443,9.37840747833252,30.52497673034668
t1_owner,20260716,possession_1_3_events,43604,0.7357123199706449,0.5576520359331043,1.332008957862854,17.912805557250977
t1_owner,20260716,possession_4_10_events,39237,0.7734026556566506,0.587237293629854,1.7125459909439087,17.84019660949707
t1_owner,20260716,possession_11plus_events,13683,0.7847694219103998,0.588014485847298,1.619826078414917,17.161130905151367
t1_owner,20260716,pass_heavy_possession,40599,0.7711027365206039,0.5400083368111708,1.1130220890045166,13.22675609588623
t2_transition,20260716,CONTROL,48288,0.7798417826375083,0.21533213654849956,1.0388150215148926,13.578399658203125
t2_transition,20260716,CONTESTED,43001,0.7063556661472989,0.48728180885149497,1.129392385482788,20.81439781188965
t2_transition,20260716,restart,5227,0.7334991390855176,0.41735652131952616,1.2854115962982178,21.251569747924805
t2_transition,20260716,switch,11820,0.6540609137055837,0.38888260539256814,1.4013855457305908,19.27001953125
t2_transition,20260716,boundary,5425,0.9686635944700461,0.14935011269722015,9.062475204467773,30.769712448120117
t2_transition,20260716,possession_1_3_events,43604,0.7358269883496927,0.5572516323219602,1.3299784660339355,17.88187026977539
t2_transition,20260716,possession_4_10_events,39237,0.7726380712082983,0.5879634280920365,1.6793562173843384,17.742847442626953
t2_transition,20260716,possession_11plus_events,13683,0.7844770883578163,0.5848039259937547,1.5988197326660156,17.15093231201172
t2_transition,20260716,pass_heavy_possession,40599,0.7711027365206039,0.5368300759081761,1.1131935119628906,13.2415189743042
c1_categorical,20260716,CONTROL,48288,0.7826375082836315,0.21097611876892364,1.0409181118011475,13.150284767150879
c1_categorical,20260716,CONTESTED,43001,0.710564870584405,0.5035693081459195,1.1215921640396118,20.263450622558594
c1_categorical,20260716,restart,5227,0.7421082839104649,0.41035667992102276,1.2564697265625,21.076313018798828
c1_categorical,20260716,switch,11820,0.657191201353638,0.38634152111376807,1.395775318145752,19.138742446899414
c1_categorical,20260716,boundary,5425,0.9694009216589862,0.16097744360902255,9.48255729675293,33.991859436035156
c1_categorical,20260716,possession_1_3_events,43604,0.739450509127603,0.5688557346710132,1.3391592502593994,17.649988174438477
c1_categorical,20260716,possession_4_10_events,39237,0.7755689782603156,0.6024581316853868,1.7028182744979858,17.396514892578125
