task,method,seed,single_task,joint_optimized,joint_minus_single
event,ce,20260715,0.5910288562080213,0.5922429773521165,0.0012141211440952482
event,ce,20260716,0.5925098582462305,0.6034516368526315,0.010941778606400998
event,ce,20260717,0.598732258568084,0.5787158775642091,-0.020016381003874928
time,current_huber,20260715,1.5183824300765991,1.7090330123901367,0.1906505823135376
time,current_huber,20260716,1.5082430839538574,1.6477103233337402,0.1394672393798828
time,current_huber,20260717,1.5135198831558228,1.6534793376922607,0.139959454536438
position,xy,20260715,15.966465950012207,21.849018096923828,5.882552146911621
position,xy,20260716,15.163067817687988,21.305688858032227,6.142621040344238
position,xy,20260717,15.280896186828613,22.11982536315918,6.838929176330566
