mode,seed,group,samples,event_accuracy,event_macro_f1,time_mae_seconds,position_distance_mae_m
fixed_b,20260715,long_possession,13683,0.7937586786523423,0.6084216944427479,1.6913058757781982,16.111101150512695
fixed_b,20260716,CONTROL,48288,0.7839214711729622,0.24549954906129448,1.0469154119491577,11.499611854553223
fixed_b,20260716,CONTESTED,43001,0.7379828376084278,0.5127337150246367,1.0969191789627075,19.417102813720703
fixed_b,20260716,restart,5227,0.7488042854409795,0.45449154647594386,1.248248815536499,19.551332473754883
fixed_b,20260716,switch,11820,0.6849407783417936,0.40797481802352265,1.3693358898162842,18.438358306884766
fixed_b,20260716,boundary,5425,0.9695852534562212,0.1640422474249988,9.14918327331543,28.372543334960938
fixed_b,20260716,long_possession,13683,0.7950741796389681,0.6042602309284357,1.6067841053009033,14.976576805114746
fixed_b,20260717,CONTROL,48288,0.7811671636845593,0.2168763352449135,1.059831142425537,11.078222274780273
fixed_b,20260717,CONTESTED,43001,0.7178902816213576,0.49209792166322613,1.1004836559295654,20.037076950073242
fixed_b,20260717,restart,5227,0.7468911421465467,0.44893762016629496,1.2491592168807983,18.86971092224121
fixed_b,20260717,switch,11820,0.660067681895093,0.3950976936035523,1.3833491802215576,17.656070709228516
fixed_b,20260717,boundary,5425,0.9701382488479263,0.17150285732185927,9.249378204345703,32.594085693359375
fixed_b,20260717,long_possession,13683,0.7870350069429218,0.594354431718273,1.6298747062683105,15.792963981628418
sf_a,20260715,CONTROL,48288,0.7744781312127237,0.22347512445712353,1.0267689228057861,12.02728271484375
sf_a,20260715,CONTESTED,43001,0.7360991604846399,0.5121055705951706,1.0940873622894287,19.224145889282227
sf_a,20260715,restart,5227,0.7555002869714942,0.44948939212899275,1.2223621606826782,19.126148223876953
sf_a,20260715,switch,11820,0.6719966159052454,0.3988065728080399,1.359704613685608,17.89011001586914
sf_a,20260715,boundary,5425,0.9688479262672811,0.15297723217715706,9.918131828308105,34.98257064819336
sf_a,20260715,long_possession,13683,0.7912738434553825,0.6092450301606377,1.6562960147857666,15.725631713867188
sf_a,20260716,CONTROL,48288,0.7813535453943009,0.22427849860405455,1.0365689992904663,11.61473560333252
sf_a,20260716,CONTESTED,43001,0.7322620404176647,0.4866966773727648,1.1009246110916138,19.496665954589844
sf_a,20260716,restart,5227,0.7486129711115362,0.4486608735279276,1.2301101684570312,19.058521270751953
sf_a,20260716,switch,11820,0.676818950930626,0.4123965095423559,1.3726905584335327,18.618465423583984
sf_a,20260716,boundary,5425,0.9688479262672811,0.15556509606096383,9.250609397888184,31.857473373413086
sf_a,20260716,long_possession,13683,0.7913469268435285,0.5904368734746995,1.6199500560760498,15.544475555419922
sf_a,20260717,CONTROL,48288,0.7809186547382373,0.2227774364509833,1.0491527318954468,11.693203926086426
sf_a,20260717,CONTESTED,43001,0.7253784795702426,0.5138076701551562,1.1011103391647339,19.768890380859375
sf_a,20260717,restart,5227,0.7453606275110006,0.4674585402449442,1.2487033605575562,19.002161026000977
sf_a,20260717,switch,11820,0.6685279187817259,0.4083697573906095,1.3733617067337036,17.81698989868164
sf_a,20260717,boundary,5425,0.9710599078341013,0.18120839213472575,9.140090942382812,32.209598541259766
sf_a,20260717,long_possession,13683,0.7917854271724037,0.6095020935506652,1.6345247030258179,15.917513847351074
sf_b,20260715,CONTROL,48288,0.7783300198807157,0.24052341221246754,1.0384986400604248,11.432941436767578
sf_b,20260715,CONTESTED,43001,0.7243087370061161,0.516385579795524,1.112032413482666,19.004314422607422
sf_b,20260715,restart,5227,0.7579873732542567,0.45351567637062684,1.2466644048690796,18.61292266845703
sf_b,20260715,switch,11820,0.6653976311336718,0.4197659411201224,1.3661949634552002,17.304866790771484
sf_b,20260715,boundary,5425,0.967926267281106,0.13838558287966962,9.997917175292969,34.65422821044922
sf_b,20260715,long_possession,13683,0.7865965066140467,0.6087508321303384,1.6762536764144897,15.443535804748535
sf_b,20260716,CONTROL,48288,0.7842113982770046,0.24964367481055222,1.043289065361023,11.300278663635254
sf_b,20260716,CONTESTED,43001,0.7355410339294435,0.5016297448215328,1.0930140018463135,19.493114471435547
sf_b,20260716,restart,5227,0.7574134302659269,0.4788695688943245,1.2459958791732788,18.853431701660156
sf_b,20260716,switch,11820,0.6833333333333333,0.40425245595774806,1.3663560152053833,18.278484344482422
sf_b,20260716,boundary,5425,0.9705069124423963,0.17459833784003995,9.198071479797363,27.692052841186523
sf_b,20260716,long_possession,13683,0.793393261711613,0.6005686760750366,1.6162259578704834,14.89179515838623
sf_b,20260717,CONTROL,48288,0.7816434724983433,0.21718405472858002,1.055053472518921,11.579030990600586
sf_b,20260717,CONTESTED,43001,0.7235180577195879,0.5143729428295315,1.0946468114852905,19.850156784057617
sf_b,20260717,restart,5227,0.7480390281232064,0.4560009826417101,1.2361171245574951,18.84281349182129
sf_b,20260717,switch,11820,0.6631979695431472,0.39471680500778944,1.385430932044983,17.773265838623047
sf_b,20260717,boundary,5425,0.9710599078341013,0.18035174075783214,9.117851257324219,31.532453536987305
sf_b,20260717,long_possession,13683,0.7895198421398816,0.6107833930512453,1.6237131357192993,15.790472030639648
