family,configuration,mean,std
position,p0_null,16.569063186645508,0.19202028508853206
position,p1_event_oracle,15.779419898986816,0.15418271021448018
position,p2_event_predicted,16.570210138956707,0.1889728028848995
position,p3_time_oracle,16.57626787821452,0.18896810638626632
position,p4_time_predicted,16.575032552083332,0.1826068186104556
position,p5_event_time_oracle,15.783806482950846,0.14262633180393364
position,p6_event_time_predicted,16.56973648071289,0.180906593440513
position,p7_event_shuffled,16.57980728149414,0.1906891390257901
position,p8_time_shuffled,16.57530403137207,0.18600305524501
position,p9_event_time_shuffled,16.5806827545166,0.19116016810352274
time,t0_null,1.5232824087142944,0.001976931193280084
time,t1_event_oracle,1.4852124055226643,0.004200468592086429
time,t2_event_predicted,1.5249793132146199,0.0019218306466429168
time,t3_event_shuffled,1.5235491196314495,0.002019941638239615
