,,seed,seed,event_accuracy,event_accuracy,event_macro_f1,event_macro_f1,time_mae_seconds,time_mae_seconds,position_distance_mae_m,position_distance_mae_m,position_median_m,position_median_m,team_accuracy,team_accuracy,team_macro_f1,team_macro_f1,player_top1,player_top1,player_top3,player_top3,player_top5,player_top5,player_mrr,player_mrr,player_coverage,player_coverage,core_etp_loss,core_etp_loss
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
split,configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test,partial_l2,20260716.0,1.0,0.7685416537606432,0.0019524102219807464,0.6154508613411457,0.004009002948262451,1.4923205773035686,0.007835701355937167,15.627504666646322,0.5339225356029669,8.958019574483236,0.6595160923846689,0.87095353143219,0.003086004111336313,0.8662294069486939,0.0033584547740940483,0.41439099846801425,0.0022007879875581573,0.6844406764535274,0.00319478254549925,0.79726473606711,0.0027601264739531683,0.580053617159416,0.002050774331197241,0.9255580564561092,0.0,0.030780388223093775,8.763918691044772e-05
validation,partial_l2,20260716.0,1.0,0.7678179824561404,0.0027988730614942623,0.607320490131792,0.010211668864371966,1.4236137469609578,0.01175974523356139,16.106922149658203,0.4669827875266856,9.344757715861002,0.6332570046127826,0.8658625730994153,0.002232600826547986,0.8620411056690437,0.00238381923071877,0.4118201199861173,0.0026787530684198447,0.6818880460112053,0.0031809241771720183,0.7943874262482028,0.005198212076783675,0.5771602083279489,0.002216975108002405,0.9214638157894738,0.0,0.030697433637422427,0.0002900861429815403
validation,partial_l2_soft,20260716.0,1.0,0.7717470760233919,0.00831719194562949,0.6134542681120276,0.0130289274455453,1.4208601713180542,0.0031922012889923604,15.849621454874674,0.32733246634671864,8.907949129740397,0.5587616983605674,0.8633497807017544,0.0021540890413242297,0.8598158906065719,0.0024241793725700692,0.4154395359214636,0.0036646392963721347,0.6873915414745402,0.002494867494751184,0.8033615945262532,0.002435029829502418,0.5814661690256827,0.0022700090570724318,0.9214638157894738,0.0,0.030486791432775256,0.0006397579027214268
