split,mode,seed,core_loss,event_accuracy,event_macro_f1,time_mae_seconds,position_distance_mae_m,team_accuracy,team_macro_f1,player_top1,player_top3,player_top5,player_mrr
validation,original,20260715,3.123156192102026e-02,0.7673777750255442,0.6125456804462585,1.5016986120416125,15.954941373392524,0.8645797855321959,0.8604438457277097,0.4223062974322237,0.6913407508562985,0.8063869797846381,0.5867867207525209
validation,original,20260716,0.031234622174234544,0.7634145586277363,0.6132023436854421,1.4938418543993457,15.32726645228272,0.8722791590550206,0.8690670012422929,0.4271418657234324,0.6900423112225481,0.8034990709440551,0.588730094591875
validation,original,20260717,0.03094067004642399,0.768399541753104,0.6192766524119497,1.4811177393867985,15.690766033158395,0.866272409202093,0.8630688573102232,0.42559717029707406,0.6945196892699635,0.8099017215518592,0.5895933664560441
validation,rotate,20260715,0.029515551611847934,0.7791848572106801,0.6358079101374562,1.4584952945206164,15.091457052093332,0.8712264296993529,0.8675408544944972,0.45211444178289195,0.7258389487116345,0.8328818643802189,0.6146002591402264
validation,rotate,20260716,0.02910416443242626,0.7812077489137278,0.6365396469973467,1.461858519839687,14.716629483291792,0.8793799217677597,0.875777442601522,0.4522935369047886,0.7242830598401576,0.8297365063019096,0.6136918135902404
validation,rotate,20260717,0.029661497874487797,0.7769349062348412,0.6357292361516821,1.4528071512645029,15.081765104440814,0.8684913975498241,0.8654748400922672,0.4497862051982359,0.7262642996261389,0.8312028476124381,0.6130801768064508
test,original,20260715,0.030810396653232177,0.7696429677659157,0.6108335313546428,1.5000886247846654,15.622498530326574,0.8694633159188057,0.8640381996912584,0.42387666770782206,0.6930525188523493,0.8093123912364464,0.5883298830657568
test,original,20260716,0.030761528292406526,0.766287401656101,0.6180464104329151,1.4924537526828052,14.996540379075721,0.8745018274929275,0.8700959628570182,0.4247467761367186,0.6941568872428718,0.8077841238677436,0.5889825853160663
test,original,20260717,0.030660896308204167,0.7696945918599128,0.6174726422358793,1.4844189517188677,15.374632964791077,0.868895450884837,0.8645540582978051,0.4258511445272411,0.6957074650841105,0.8104390700995047,0.5904939055170761
test,rotate,20260715,0.029200818006889905,0.7811344910896814,0.6293266248850564,1.4642502428971844,14.765381802119686,0.8750387180704978,0.8701445444801497,0.4541185132301102,0.7254138592655393,0.8341885681138727,0.6158519421805642
test,rotate,20260716,0.028789877476392944,0.78405641480992,0.6354204171761859,1.466735716886887,14.480266508578634,0.8840109856072026,0.879376824978467,0.451932086921601,0.7262281915130963,0.8327383873990452,0.614203595300057
test,rotate,20260717,0.029362603302709827,0.7796064179073657,0.6308651531320578,1.4586105054263045,14.801971467685899,0.8712908088463047,0.8671855798224295,0.4502364910088796,0.7258823791887912,0.8327272321627772,0.6136852992492118
