split,method,seed,group,value,samples,mean_distance_m,median_distance_m,distance_rmse_m,x_mae_m,y_mae_m,loss
validation,PR-Original,20260715,event_true,0,2049,20.066698220005758,12.379538126154396,27.61376580854146,15.03517367114827,10.921059568893945,0.02575855329632759
validation,PR-Original,20260715,event_true,1,82,31.28913040066194,28.437448903964707,35.49132056754302,21.29890344355528,20.15127286133243,0.04630035161972046
validation,PR-Original,20260715,event_true,2,431,26.80730470414442,21.88231662855495,33.11144036221549,17.54030473400642,17.46564456746155,0.04221901670098305
validation,PR-Original,20260715,event_true,3,18,36.150657433115725,28.060180382453307,40.84842635387535,31.098542908827465,17.915769072042572,0.0506499819457531
validation,PR-Original,20260715,event_true,4,326,44.681265032826566,43.89116617209484,47.48240113823637,31.15681357258942,27.02636350634182,0.07975994050502777
validation,PR-Original,20260715,event_true,5,25,64.04380209966139,63.283981505173294,65.83001906620059,56.67712538391352,21.485646007061003,0.12193362414836884
validation,PR-Original,20260715,event_true,6,568,14.878772651458899,10.566934820698926,20.504540240016162,11.309655897047135,7.6456663209918725,0.013096395879983902
validation,PR-Original,20260715,event_true,7,3657,10.006703999874128,6.921962361195719,13.977195419917637,7.111296677890129,5.79454041089448,0.006809782702475786
validation,PR-Original,20260715,event_true,8,50,11.50402223250152,8.701334217065458,17.567624869480188,9.767973459139466,5.169431115686893,0.009601472876966
validation,PR-Original,20260715,event_true,9,90,20.61447750515534,14.47934751500172,27.49508609942474,19.08888100584348,5.417913189199235,0.018780691549181938
validation,PR-Original,20260715,zone_true,0,185,33.29370356488332,23.255338727272054,41.66356221837846,26.8647441599216,17.803802319958404,0.05500739440321922
validation,PR-Original,20260715,zone_true,1,303,20.28438720522907,12.946994605893053,26.958894589818556,13.298498766847176,14.282411890454812,0.028871536254882812
validation,PR-Original,20260715,zone_true,2,329,15.425882870900592,8.944053245065104,21.299181961046912,7.053746053196014,12.556651098025243,0.02176690101623535
validation,PR-Original,20260715,zone_true,3,324,14.119927457575564,8.10300486774308,19.599197334918713,5.982703703145186,11.70134094339094,0.018561001867055893
validation,PR-Original,20260715,zone_true,4,329,17.016161055860444,8.569240123695119,24.80228746499808,11.206754881967889,11.80595070132731,0.02450375445187092
validation,PR-Original,20260715,zone_true,5,291,25.05769585591537,16.178477014462047,33.30617568712553,20.326280160663053,12.975956152394875,0.03490016236901283
validation,PR-Original,20260715,zone_true,6,238,31.045435796933422,21.938605288426853,40.65504788875622,25.522549770334187,16.389840804572618,0.053073033690452576
validation,PR-Original,20260715,zone_true,7,299,22.667329645548467,12.012241566414387,30.921128007317208,15.207854492409174,15.658491002750836,0.03773162513971329
validation,PR-Original,20260715,zone_true,8,319,14.77121395988726,9.979421021563411,19.913129399722326,7.158427293584638,11.533284085134166,0.018473779782652855
validation,PR-Original,20260715,zone_true,9,376,13.760375093988191,8.835651393178669,18.822456168151415,6.51496629488278,10.85326862644325,0.01681801863014698
validation,PR-Original,20260715,zone_true,10,379,16.76787032245033,11.041714856031753,22.589015588630275,11.029658069868516,11.673019783458326,0.02038399688899517
validation,PR-Original,20260715,zone_true,11,223,25.7064834049013,21.171445571788837,30.719621891945938,21.078502334353637,12.892168360808238,0.030130941420793533
validation,PR-Original,20260715,zone_true,12,540,12.325055926212418,8.45355224007426,16.573214050774773,9.176201672396726,6.92087299178044,0.009282698854804039
validation,PR-Original,20260715,zone_true,13,504,11.134374558781792,7.529449418787384,15.417284362054444,7.950430658335487,6.679174078244065,0.008367471396923065
validation,PR-Original,20260715,zone_true,14,458,9.635605376207645,7.390624197925629,12.924370348048157,8.106941387350123,3.7051020472200675,0.0046064769849181175
validation,PR-Original,20260715,zone_true,15,393,9.36577931978948,6.159526080244958,13.287782394793846,7.953319736678182,3.4711661921202683,0.004648904781788588
validation,PR-Original,20260715,zone_true,16,533,10.568090646053907,7.177534863196721,15.124629422918836,7.861625017636713,6.001815970574714,0.0076952408999204636
validation,PR-Original,20260715,zone_true,17,546,9.382066782240829,6.739512238733339,12.351242814404369,6.815765832479183,5.4769813016657425,0.005306164734065533
validation,PR-Original,20260715,zone_true,18,485,20.426511454291255,12.19705949813994,28.019355434401856,18.240532409610974,6.0186387166534505,0.019594453275203705
validation,PR-Original,20260715,zone_true,19,242,31.080979118114673,20.71444133019299,38.85069024905761,29.870078821689628,5.73740094653831,0.03589285910129547
validation,PR-Original,20260715,player_mask,0,573,30.85241310242239,28.650248997793398,37.29537769280817,21.709675865335615,18.307032578070544,0.049266375601291656
validation,PR-Original,20260715,player_mask,1,6723,15.149777143104384,9.200084789156442,21.9910979806669,11.073021805703487,8.480900574885014,0.016513001173734665
validation,PR-Original,20260716,event_true,0,2049,19.534909876786532,10.981951282126142,27.706944622244915,14.462828546282488,10.783517543104667,0.026120401918888092
validation,PR-Original,20260716,event_true,1,82,26.683146767171902,23.812079109440493,31.42471729479224,17.830298478010953,17.362255829136547,0.037361547350883484
validation,PR-Original,20260716,event_true,2,431,28.296306686307926,22.50950162672249,34.276222002441614,19.339496431971646,17.756421454077945,0.0447457917034626
validation,PR-Original,20260716,event_true,3,18,34.08197770770416,21.96942915410861,43.52638637378545,28.011328171317775,18.39187614950869,0.06258528679609299
validation,PR-Original,20260716,event_true,4,326,35.881131736309484,29.31462134237544,42.92880194276323,25.86416355168527,20.62598897925824,0.0640353113412857
validation,PR-Original,20260716,event_true,5,25,64.17847894418273,66.8149714514732,66.49866205615123,55.674853581190106,23.07405851960182,0.12923964858055115
validation,PR-Original,20260716,event_true,6,568,13.866638426540572,8.95698787591624,20.14556737133191,10.538654587720194,7.0077835063410685,0.012584326788783073
validation,PR-Original,20260716,event_true,7,3657,9.643835095607837,5.938704129754826,14.478323119933654,6.918141105983152,5.542013971463542,0.007339161355048418
validation,PR-Original,20260716,event_true,8,50,10.217047188868976,6.173845771438302,19.41136070780801,9.031050473079086,4.281458681672811,0.010648313909769058
validation,PR-Original,20260716,event_true,9,90,17.797161752400488,10.60445782636784,24.631091898810524,16.57386642570297,4.703411779138777,0.015401585958898067
validation,PR-Original,20260716,zone_true,0,185,31.470961019968094,22.43205898276193,41.85682404934945,24.953675177753777,17.069248661801623,0.05682786554098129
validation,PR-Original,20260716,zone_true,1,303,18.14119738348021,10.228232323354288,25.74388401532545,12.093091753892379,12.377313951454541,0.02621699683368206
validation,PR-Original,20260716,zone_true,2,329,15.285232720898133,8.857485945409952,21.999242901634467,7.421420040599843,11.892904681003564,0.022945381700992584
validation,PR-Original,20260716,zone_true,3,324,14.398295973416214,7.368074008363533,21.02695566397314,6.6135363542923225,11.579604465928343,0.021181734278798103
validation,PR-Original,20260716,zone_true,4,329,18.429524693816536,10.940574987176978,26.17316707755848,11.96445738540051,13.067721702181098,0.028001919388771057
validation,PR-Original,20260716,zone_true,5,291,26.224072384593057,18.570627210702547,34.750029287789914,21.301435681885664,13.548955773569874,0.039073675870895386
validation,PR-Original,20260716,zone_true,6,238,28.436708561324867,17.056595084314743,39.316840075772205,23.76035699620843,14.09775133218084,0.04824327304959297
validation,PR-Original,20260716,zone_true,7,299,19.681545695270973,9.707743329665298,28.092068858019196,13.331806370272087,13.414568000388982,0.03114818036556244
validation,PR-Original,20260716,zone_true,8,319,13.491219163793273,8.54302276943799,19.63666752878433,7.07467552940113,9.876683999588684,0.017653584480285645
