,,seed,seed,event_accuracy,event_accuracy,event_macro_f1,event_macro_f1,time_mae_seconds,time_mae_seconds,position_distance_mae_m,position_distance_mae_m,position_median_m,position_median_m,team_accuracy,team_accuracy,team_macro_f1,team_macro_f1,player_top1,player_top1,player_top3,player_top3,player_top5,player_top5,player_mrr,player_mrr,player_coverage,player_coverage,core_etp_loss,core_etp_loss
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
split,configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test,ap_mean,20260716.0,1.0,0.7685416537606432,0.0019524102219807464,0.6154508613411457,0.004009002948262451,1.4923205773035686,0.007835701355937167,15.627504666646322,0.5339225356029669,8.958019574483236,0.6595160923846689,0.87095353143219,0.003086004111336313,0.8662294069486939,0.0033584547740940483,0.41439099846801425,0.0022007879875581573,0.6844406764535274,0.00319478254549925,0.79726473606711,0.0027601264739531683,0.580053617159416,0.002050774331197241,0.9255580564561092,0.0,0.030780388223093775,8.763918691044772e-05
test,ap_shared,20260716.0,1.0,0.7726406068240169,0.0015458406608356945,0.6217266895739193,0.007210396028071083,1.5005972782770793,0.010627094885848646,15.806403477986654,0.42659126691812804,9.155768394470215,0.6946165273186996,0.8695596808942669,0.0011645706043661832,0.864947942905296,0.0020975999407205547,0.41439099846801425,0.002792428451687955,0.6851174274537802,0.003033677390279602,0.7987669745511877,0.001841740431056354,0.5803532653161738,0.0023911766289390194,0.9255580564561092,0.0,0.030690811572433363,0.00022009801221327093
test,ap_task,20260716.0,1.0,0.7729847674506646,0.001930833134858484,0.6236832717204662,0.003216919524796793,1.4804058472315471,0.009155469215968775,15.837571144104004,0.3575302606297737,9.220447222391764,0.45818426958724695,0.8702686517851612,0.003538521923041574,0.8653070048734234,0.004030411949137666,0.41762973539779574,0.004851989218004916,0.6894865616587093,0.005548733082956033,0.801782606755611,0.005383103713149198,0.5835756544333324,0.004553106094693068,0.9255580564561092,0.0,0.030465200693075775,0.00017565893954404364
validation_guarded_core,ap_mean,20260716.0,1.0,0.7678179824561404,0.0027988730614942623,0.607320490131792,0.010211668864371966,1.4236137469609578,0.01175974523356139,16.106922149658203,0.4669827875266856,9.344757715861002,0.6332570046127826,0.8658625730994153,0.002232600826547986,0.8620411056690437,0.00238381923071877,0.4118201199861173,0.0026787530684198447,0.6818880460112053,0.0031809241771720183,0.7943874262482028,0.005198212076783675,0.5771602083279489,0.002216975108002405,0.9214638157894738,0.0,0.030697433637422427,0.0002900861429815403
validation_guarded_core,ap_shared,20260716.0,1.0,0.7730720029239766,0.002756036391055516,0.6122460783591105,0.013834551919096758,1.417831023534139,0.0029382815967825423,16.262866020202637,0.42667140029634076,9.564481099446615,0.6939378731783165,0.8645833333333334,0.0027377993908221277,0.8607902512223139,0.003024548097725082,0.4115722147850662,0.0011229859341470789,0.6825325995339382,0.005761436343575336,0.7936437106450493,0.005136126734525333,0.5776552835599297,0.001544401424028094,0.9214638157894738,0.0,0.030462271419533515,0.00024234932093198755
validation_guarded_core,ap_task,20260716.0,1.0,0.7719755116959064,0.003784318053706005,0.6140622738399532,0.003559409556928803,1.4189116557439168,0.009956325630754352,16.276262283325195,0.2362385168427952,9.613191604614258,0.3348561382852505,0.8646747076023392,0.0029085880925433247,0.8607074409750356,0.003272738115526772,0.41315880807179334,0.005068918803761023,0.6850612325846597,0.006128024019229644,0.7992463681888046,0.006398259866424758,0.5793238662172568,0.004782720622187446,0.9214638157894738,0.0,0.0304318400568258,0.00017178159164463753
