configuration,seed,task,age,relative_score,canonical_weight
ap_shared,20260715,event,0,0.0,0.01225459948182106
ap_shared,20260715,event,1,0.6641656756401062,0.023809080943465233
ap_shared,20260715,event,2,1.604386329650879,0.060964252799749374
ap_shared,20260715,event,3,0.6864650845527649,0.024345973506569862
ap_shared,20260715,event,4,0.8711012601852417,0.029282867908477783
ap_shared,20260715,event,5,0.3718695640563965,0.017774606123566628
ap_shared,20260715,event,6,-0.17033284902572632,0.01033533364534378
ap_shared,20260715,event,7,-0.043356671929359436,0.011734634637832642
ap_shared,20260715,event,8,-0.28627529740333557,0.009203888475894928
ap_shared,20260715,event,9,0.591900646686554,0.022149214521050453
ap_shared,20260715,event,10,0.21337760984897614,0.01516938116401434
ap_shared,20260715,event,11,-0.021182388067245483,0.011997747235000134
ap_shared,20260715,event,12,0.4917866587638855,0.020039154216647148
ap_shared,20260715,event,13,-0.8143486976623535,0.005427902098745108
ap_shared,20260715,event,14,0.030910715460777283,0.01263931393623352
ap_shared,20260715,event,15,-0.6324490308761597,0.006510733626782894
ap_shared,20260715,event,16,-0.2783171236515045,0.00927742663770914
ap_shared,20260715,event,17,0.2851130962371826,0.016297543421387672
ap_shared,20260715,event,18,-0.8655365109443665,0.005157050676643848
ap_shared,20260715,event,19,-1.537267804145813,0.0026343425270169973
ap_shared,20260715,event,20,-0.007806748151779175,0.012159302830696106
ap_shared,20260715,event,21,-0.6758020520210266,0.00623450567945838
ap_shared,20260715,event,22,-1.2956470251083374,0.003354337066411972
ap_shared,20260715,event,23,-1.1542019844055176,0.0038639858830720186
ap_shared,20260715,event,24,-0.4175122380256653,0.008071903139352798
ap_shared,20260715,event,25,-0.5349759459495544,0.007177315186709166
ap_shared,20260715,event,26,-0.09908559918403625,0.01109856553375721
ap_shared,20260715,event,27,-0.05795210599899292,0.011564604938030243
ap_shared,20260715,event,28,-0.5614222288131714,0.006989988964051008
ap_shared,20260715,event,29,-0.20738469064235687,0.009959397837519646
ap_shared,20260715,event,30,0.22020895779132843,0.015273361466825008
ap_shared,20260715,event,31,-0.42616426944732666,0.00800236314535141
ap_shared,20260715,event,32,0.0931982547044754,0.013451620936393738
ap_shared,20260715,event,33,0.8610752820968628,0.028990745544433594
ap_shared,20260715,event,34,-0.6907367706298828,0.006142087280750275
ap_shared,20260715,event,35,-0.7270284295082092,0.005923177115619183
ap_shared,20260715,event,36,0.22521771490573883,0.015350055880844593
ap_shared,20260715,event,37,-0.31910812854766846,0.008906605653464794
ap_shared,20260715,event,38,-0.3257356286048889,0.00884777121245861
ap_shared,20260715,event,39,-0.6192061305046082,0.006597528699785471
ap_shared,20260715,event,40,-0.3718108832836151,0.008449357934296131
ap_shared,20260715,event,41,-0.3717968463897705,0.008449476212263107
ap_shared,20260715,event,42,-0.14934217929840088,0.010554572567343712
ap_shared,20260715,event,43,-0.79468834400177,0.005535672884434462
ap_shared,20260715,event,44,0.6703678369522095,0.023957205936312675
ap_shared,20260715,event,45,-0.2213762104511261,0.009821021929383278
ap_shared,20260715,event,46,-0.6119517683982849,0.006645563989877701
ap_shared,20260715,event,47,-0.424716591835022,0.008013957180082798
ap_shared,20260715,event,48,1.0763944387435913,0.035955991595983505
ap_shared,20260715,event,49,-0.1296062171459198,0.010764946229755878
ap_shared,20260715,event,50,0.2778627872467041,0.01617981120944023
ap_shared,20260715,event,51,-1.5586081743240356,0.0025787202175706625
ap_shared,20260715,event,52,-0.11267221719026566,0.010948792099952698
ap_shared,20260715,event,53,-0.5740499496459961,0.0069022770039737225
ap_shared,20260715,event,54,0.31342846155166626,0.01676560938358307
ap_shared,20260715,event,55,0.551799476146698,0.02127857692539692
ap_shared,20260715,event,56,0.2938954830169678,0.016441306099295616
ap_shared,20260715,event,57,-0.04586206376552582,0.01170527096837759
ap_shared,20260715,event,58,0.4720398783683777,0.019647326320409775
ap_shared,20260715,event,59,-0.9821223020553589,0.004589535761624575
ap_shared,20260715,event,60,-0.17707505822181702,0.010265884920954704
ap_shared,20260715,event,61,-0.4798469543457031,0.007584103383123875
ap_shared,20260715,event,62,-1.2648637294769287,0.0034592009615153074
ap_shared,20260715,event,63,-0.8864466547966003,0.005050335079431534
ap_shared,20260715,event,64,0.5326896905899048,0.020875809714198112
ap_shared,20260715,event,65,0.6097847819328308,0.022548895329236984
ap_shared,20260715,event,66,-0.843505322933197,0.0052719274535775185
ap_shared,20260715,event,67,-0.8556064963340759,0.0052085150964558125
ap_shared,20260715,event,68,-0.39314109086990356,0.008271039463579655
ap_shared,20260715,event,69,-0.3465166687965393,0.008665802888572216
ap_shared,20260715,event,70,-0.2518865168094635,0.009525904431939125
ap_shared,20260715,event,71,-0.11165762692689896,0.010959906503558159
ap_shared,20260715,event,72,-0.20504117012023926,0.009982764720916748
ap_shared,20260715,event,73,-0.4640030860900879,0.00770522141829133
ap_shared,20260715,event,74,-0.16464339196681976,0.010394303128123283
ap_shared,20260715,event,75,0.19585706293582916,0.014905918389558792
ap_shared,20260715,event,76,0.2741243243217468,0.01611943542957306
ap_shared,20260715,event,77,0.22259090840816498,0.015309786424040794
ap_shared,20260715,event,78,0.3934633135795593,0.018162604421377182
ap_shared,20260715,event,79,-0.24586787819862366,0.009583409875631332
ap_shared,20260715,time,0,0.0,0.01225459948182106
ap_shared,20260715,time,1,0.6641656756401062,0.023809080943465233
ap_shared,20260715,time,2,1.604386329650879,0.060964252799749374
ap_shared,20260715,time,3,0.6864650845527649,0.024345973506569862
ap_shared,20260715,time,4,0.8711012601852417,0.029282867908477783
ap_shared,20260715,time,5,0.3718695640563965,0.017774606123566628
ap_shared,20260715,time,6,-0.17033284902572632,0.01033533364534378
ap_shared,20260715,time,7,-0.043356671929359436,0.011734634637832642
ap_shared,20260715,time,8,-0.28627529740333557,0.009203888475894928
ap_shared,20260715,time,9,0.591900646686554,0.022149214521050453
ap_shared,20260715,time,10,0.21337760984897614,0.01516938116401434
ap_shared,20260715,time,11,-0.021182388067245483,0.011997747235000134
ap_shared,20260715,time,12,0.4917866587638855,0.020039154216647148
ap_shared,20260715,time,13,-0.8143486976623535,0.005427902098745108
ap_shared,20260715,time,14,0.030910715460777283,0.01263931393623352
ap_shared,20260715,time,15,-0.6324490308761597,0.006510733626782894
ap_shared,20260715,time,16,-0.2783171236515045,0.00927742663770914
ap_shared,20260715,time,17,0.2851130962371826,0.016297543421387672
ap_shared,20260715,time,18,-0.8655365109443665,0.005157050676643848
ap_shared,20260715,time,19,-1.537267804145813,0.0026343425270169973
ap_shared,20260715,time,20,-0.007806748151779175,0.012159302830696106
ap_shared,20260715,time,21,-0.6758020520210266,0.00623450567945838
ap_shared,20260715,time,22,-1.2956470251083374,0.003354337066411972
ap_shared,20260715,time,23,-1.1542019844055176,0.0038639858830720186
ap_shared,20260715,time,24,-0.4175122380256653,0.008071903139352798
ap_shared,20260715,time,25,-0.5349759459495544,0.007177315186709166
ap_shared,20260715,time,26,-0.09908559918403625,0.01109856553375721
ap_shared,20260715,time,27,-0.05795210599899292,0.011564604938030243
ap_shared,20260715,time,28,-0.5614222288131714,0.006989988964051008
ap_shared,20260715,time,29,-0.20738469064235687,0.009959397837519646
ap_shared,20260715,time,30,0.22020895779132843,0.015273361466825008
ap_shared,20260715,time,31,-0.42616426944732666,0.00800236314535141
ap_shared,20260715,time,32,0.0931982547044754,0.013451620936393738
ap_shared,20260715,time,33,0.8610752820968628,0.028990745544433594
ap_shared,20260715,time,34,-0.6907367706298828,0.006142087280750275
ap_shared,20260715,time,35,-0.7270284295082092,0.005923177115619183
