configuration,seed,task,expected_age_mean,expected_age_std,age_std_mean,age_std_std,entropy_mean,entropy_std,ess_mean,ess_std,n50_mean,n50_std,n80_mean,n80_std,n90_mean,n90_std
ap_shared,20260715,event,35.53489685058594,4.796385765075684,24.313840866088867,3.1430249214172363,0.9563698172569275,0.020427333191037178,53.023963928222656,6.909238338470459,36.03645706176758,4.977117538452148,61.47615051269531,7.951434135437012,71.22560119628906,9.162479400634766
ap_shared,20260715,time,35.53489685058594,4.796385765075684,24.313840866088867,3.1430249214172363,0.9563698172569275,0.020427333191037178,53.02396774291992,6.909238338470459,36.03645706176758,4.977117538452148,61.47615051269531,7.951434135437012,71.22560119628906,9.162479400634766
ap_shared,20260715,position,35.53489685058594,4.796385765075684,24.313840866088867,3.1430249214172363,0.9563698172569275,0.020427335053682327,53.02396774291992,6.909238338470459,36.03645706176758,4.977117538452148,61.47615051269531,7.951434135437012,71.22560119628906,9.162479400634766
ap_shared,20260716,event,34.43941116333008,4.745872497558594,25.323944091796875,3.3652875423431396,0.9315901398658752,0.01944250613451004,45.34381866455078,5.748440265655518,35.91981887817383,5.308804035186768,61.42982482910156,8.11855411529541,71.19832611083984,9.259522438049316
ap_shared,20260716,time,34.43941116333008,4.745872497558594,25.323944091796875,3.3652875423431396,0.9315901398658752,0.01944250613451004,45.34381866455078,5.748440265655518,35.91981887817383,5.308804035186768,61.42982482910156,8.11855411529541,71.19832611083984,9.259522438049316
ap_shared,20260716,position,34.43941116333008,4.745872497558594,25.323944091796875,3.3652875423431396,0.9315901398658752,0.01944250613451004,45.34381866455078,5.748440265655518,35.91981887817383,5.308804035186768,61.42982482910156,8.11855411529541,71.19832611083984,9.259522438049316
ap_shared,20260717,event,29.1776180267334,4.006999492645264,25.455236434936523,3.4421935081481934,0.8952518701553345,0.021461108699440956,32.98635482788086,4.046840667724609,25.220256805419922,3.7049384117126465,56.54111862182617,7.563488960266113,70.1817398071289,9.275606155395508
ap_shared,20260717,time,29.1776180267334,4.006999492645264,25.455236434936523,3.4421935081481934,0.8952518701553345,0.021461108699440956,32.98635482788086,4.046840667724609,25.220256805419922,3.7049384117126465,56.54111862182617,7.563488960266113,70.1817398071289,9.275606155395508
ap_shared,20260717,position,29.1776180267334,4.006999492645264,25.455236434936523,3.4421935081481934,0.8952518701553345,0.021461108699440956,32.98635482788086,4.046840667724609,25.220256805419922,3.7049384117126465,56.54111862182617,7.563488960266113,70.1817398071289,9.275606155395508
ap_task,20260715,event,26.863672256469727,3.7742936611175537,25.317655563354492,3.398015022277832,0.8510828614234924,0.01960282027721405,24.263687133789062,2.8401031494140625,18.44065284729004,2.71418833732605,54.58100509643555,7.449134349822998,64.41488647460938,8.368132591247559
ap_task,20260715,time,20.127395629882812,2.8706047534942627,24.30184555053711,3.3612847328186035,0.7429261207580566,0.021297212690114975,13.475312232971191,1.315673589706421,4.926260948181152,0.37175652384757996,47.653099060058594,7.07690954208374,59.499176025390625,7.989302158355713
ap_task,20260715,position,39.15251159667969,5.009308338165283,22.273958206176758,2.8294780254364014,0.9982026815414429,0.020249018445611,77.17050170898438,9.784915924072266,40.053863525390625,4.974521636962891,62.51110076904297,7.805783271789551,71.26822662353516,8.994913101196289
ap_task,20260716,event,22.231185913085938,3.014038562774658,24.185394287109375,3.30949068069458,0.7850173115730286,0.018601862713694572,18.809219360351562,1.9550813436508179,10.73012638092041,1.2830935716629028,47.740543365478516,6.594661712646484,60.51178741455078,7.843320846557617
ap_task,20260716,time,16.029483795166016,2.099250078201294,21.71459197998047,3.0375332832336426,0.6743919253349304,0.020454978570342064,11.111302375793457,0.9095516800880432,4.9597039222717285,0.24167978763580322,36.910911560058594,5.454935073852539,53.626644134521484,7.327016353607178
ap_task,20260716,position,40.55549240112305,5.227186679840088,22.05051612854004,2.782571792602539,0.9932727217674255,0.020147135481238365,73.95732116699219,9.361931800842285,42.95504379272461,5.4435811042785645,64.44092559814453,8.12392520904541,71.28042602539062,8.967597007751465
ap_task,20260717,event,28.884902954101562,3.943992853164673,25.280820846557617,3.4046905040740967,0.894982635974884,0.023202283307909966,28.038068771362305,3.5374996662139893,25.22258758544922,3.7320570945739746,55.58443069458008,7.358776092529297,70.1729736328125,9.288590431213379
ap_task,20260717,time,18.670185089111328,2.450929641723633,22.71202850341797,3.172517776489258,0.6825361847877502,0.021170826628804207,10.957767486572266,0.9889354705810547,5.920093059539795,0.40120676159858704,47.56702423095703,7.08844518661499,55.64323043823242,7.302182197570801
ap_task,20260717,position,39.03515625,5.052771091461182,22.565189361572266,2.8511250019073486,0.9957947134971619,0.020205112174153328,75.5414810180664,9.573750495910645,40.99849319458008,5.208785057067871,63.455318450927734,8.015775680541992,71.2667236328125,9.002397537231445
