configuration,samples,parameters,collate_ms_per_batch,h2d_ms_per_batch,forward_ms_per_batch,full_inference_ms_per_batch,samples_per_second,peak_cuda_memory_bytes,encoder_calls,shared_l1_calls,main_l2_calls,player_l2_calls,parameters_relative_to_mean,collate_ms_per_batch_relative_to_mean,h2d_ms_per_batch_relative_to_mean,forward_ms_per_batch_relative_to_mean,full_inference_ms_per_batch_relative_to_mean,peak_cuda_memory_bytes_relative_to_mean
ap_mean,2560,557705,1629.6534244902432,4.012174159288406,413.5361642576754,1709.9654209800065,149.71062973500517,712613376,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
ap_shared,2560,560090,1706.9248236715794,3.7293555215001106,551.6088508069515,1667.6740869879723,153.50721222896016,712595456,1,1,1,1,1.0042764543979343,1.0474158480693567,0.9295098800400887,1.333882979248322,0.9752677256082779,0.9999748531242838
ap_task,2560,560122,1064.4048662856221,2.960687503218651,448.6605044454336,1793.0904294364154,142.77026735370123,712726528,1,1,1,1,1.004333832402435,0.6531479947146239,0.7379259687330607,1.0849365623217226,1.04861209907319,1.000158784558094
rf_task,2560,557705,3349.9566829763353,7.059629634022713,1207.8437727876008,4116.339953802526,62.191170523590124,726502912,1,3,3,1,1.0,2.0556252222917912,1.7595521414939772,2.9207693962044643,2.407265026121634,1.0194909841265736
